Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:58:56

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	11.67868      
301.0000      	33222.5914    	12.04691      
302.0000      	33112.5828    	12.15319      
303.0000      	33003.3003    	10.94546      
304.0000      	32894.7368    	9.63592       
305.0000      	32786.8852    	9.32069       
306.0000      	32679.7386    	9.58751       
307.0000      	32573.2899    	9.64415       
308.0000      	32467.5325    	9.26838       
309.0000      	32362.4595    	8.41514       
310.0000      	32258.0645    	8.45271       
311.0000      	32154.3408    	8.60773       
312.0000      	32051.2821    	8.44448       
313.0000      	31948.8818    	8.60014       
314.0000      	31847.1338    	7.59063       
315.0000      	31746.0317    	7.49552       
316.0000      	31645.5696    	7.45911       
317.0000      	31545.7413    	7.88931       
318.0000      	31446.5409    	8.15514       
319.0000      	31347.9624    	7.55676       
320.0000      	31250.0000    	6.81579       
321.0000      	31152.6480    	6.06115       
322.0000      	31055.9006    	7.02615       
323.0000      	30959.7523    	7.53190       
324.0000      	30864.1975    	7.06831       
325.0000      	30769.2308    	6.05650       
326.0000      	30674.8466    	6.55998       
327.0000      	30581.0398    	6.99171       
328.0000      	30487.8049    	6.81405       
329.0000      	30395.1368    	7.07618       
330.0000      	30303.0303    	7.21514       
331.0000      	30211.4804    	6.48941       
332.0000      	30120.4819    	6.24442       
333.0000      	30030.0300    	6.22814       
334.0000      	29940.1198    	6.46238       
335.0000      	29850.7463    	6.24915       
336.0000      	29761.9048    	6.00844       
337.0000      	29673.5905    	5.88239       
338.0000      	29585.7988    	6.09077       
339.0000      	29498.5251    	6.16680       
340.0000      	29411.7647    	6.25064       
341.0000      	29325.5132    	6.07431       
342.0000      	29239.7661    	6.19604       
343.0000      	29154.5190    	6.25599       
344.0000      	29069.7674    	6.15142       
345.0000      	28985.5072    	5.98868       
346.0000      	28901.7341    	5.76413       
347.0000      	28818.4438    	5.66758       
348.0000      	28735.6322    	5.73770       
349.0000      	28653.2951    	5.86307       
350.0000      	28571.4286    	6.12365       
351.0000      	28490.0285    	6.17533       
352.0000      	28409.0909    	6.00672       
353.0000      	28328.6119    	5.91123       
354.0000      	28248.5876    	5.95619       
355.0000      	28169.0141    	5.95722       
356.0000      	28089.8876    	6.46240       
357.0000      	28011.2045    	6.63185       
358.0000      	27932.9609    	6.42162       
359.0000      	27855.1532    	6.47471       
360.0000      	27777.7778    	6.49458       
361.0000      	27700.8310    	6.67655       
362.0000      	27624.3094    	6.56869       
363.0000      	27548.2094    	6.37227       
364.0000      	27472.5275    	6.19860       
365.0000      	27397.2603    	6.33283       
366.0000      	27322.4044    	6.69537       
367.0000      	27247.9564    	6.92991       
368.0000      	27173.9130    	6.91713       
369.0000      	27100.2710    	6.80442       
370.0000      	27027.0270    	6.76557       
371.0000      	26954.1779    	6.80211       
372.0000      	26881.7204    	6.99654       
373.0000      	26809.6515    	7.05405       
374.0000      	26737.9679    	7.03955       
375.0000      	26666.6667    	7.16318       
376.0000      	26595.7447    	7.41310       
377.0000      	26525.1989    	7.49290       
378.0000      	26455.0265    	7.52163       
379.0000      	26385.2243    	7.59485       
380.0000      	26315.7895    	7.64212       
381.0000      	26246.7192    	7.64140       
382.0000      	26178.0105    	7.78181       
383.0000      	26109.6606    	8.19276       
384.0000      	26041.6667    	8.39688       
