Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:58:43

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	10.71153      
301.0000      	33222.5914    	9.93167       
302.0000      	33112.5828    	10.15287      
303.0000      	33003.3003    	9.78678       
304.0000      	32894.7368    	7.78636       
305.0000      	32786.8852    	7.27349       
306.0000      	32679.7386    	7.76885       
307.0000      	32573.2899    	8.16598       
308.0000      	32467.5325    	8.94455       
309.0000      	32362.4595    	8.50089       
310.0000      	32258.0645    	8.59938       
311.0000      	32154.3408    	8.43201       
312.0000      	32051.2821    	7.95222       
313.0000      	31948.8818    	7.95931       
314.0000      	31847.1338    	7.45748       
315.0000      	31746.0317    	7.35743       
316.0000      	31645.5696    	7.55029       
317.0000      	31545.7413    	7.74763       
318.0000      	31446.5409    	7.97545       
319.0000      	31347.9624    	7.60951       
320.0000      	31250.0000    	7.30727       
321.0000      	31152.6480    	6.68144       
322.0000      	31055.9006    	6.99327       
323.0000      	30959.7523    	6.90710       
324.0000      	30864.1975    	6.48241       
325.0000      	30769.2308    	6.04402       
326.0000      	30674.8466    	6.65736       
327.0000      	30581.0398    	7.67605       
328.0000      	30487.8049    	7.44560       
329.0000      	30395.1368    	6.92609       
330.0000      	30303.0303    	6.11911       
331.0000      	30211.4804    	5.75358       
332.0000      	30120.4819    	6.12272       
333.0000      	30030.0300    	6.29836       
334.0000      	29940.1198    	6.15853       
335.0000      	29850.7463    	5.90721       
336.0000      	29761.9048    	5.67373       
337.0000      	29673.5905    	5.36911       
338.0000      	29585.7988    	5.65837       
339.0000      	29498.5251    	5.78357       
340.0000      	29411.7647    	5.89291       
341.0000      	29325.5132    	5.82103       
342.0000      	29239.7661    	5.91765       
343.0000      	29154.5190    	5.79937       
344.0000      	29069.7674    	5.75387       
345.0000      	28985.5072    	5.88339       
346.0000      	28901.7341    	5.61362       
347.0000      	28818.4438    	5.38973       
348.0000      	28735.6322    	5.43556       
349.0000      	28653.2951    	5.50624       
350.0000      	28571.4286    	5.48252       
351.0000      	28490.0285    	5.55042       
352.0000      	28409.0909    	5.63055       
353.0000      	28328.6119    	5.81373       
354.0000      	28248.5876    	5.98322       
355.0000      	28169.0141    	5.83822       
356.0000      	28089.8876    	5.92090       
357.0000      	28011.2045    	5.76338       
358.0000      	27932.9609    	5.74047       
359.0000      	27855.1532    	5.88524       
360.0000      	27777.7778    	6.08745       
361.0000      	27700.8310    	6.48928       
362.0000      	27624.3094    	6.41244       
363.0000      	27548.2094    	6.37227       
364.0000      	27472.5275    	6.17316       
365.0000      	27397.2603    	6.19260       
366.0000      	27322.4044    	6.24392       
367.0000      	27247.9564    	6.28251       
368.0000      	27173.9130    	6.27784       
369.0000      	27100.2710    	6.40402       
370.0000      	27027.0270    	6.40734       
371.0000      	26954.1779    	6.41345       
372.0000      	26881.7204    	6.54474       
373.0000      	26809.6515    	6.65535       
374.0000      	26737.9679    	6.78073       
375.0000      	26666.6667    	6.72268       
376.0000      	26595.7447    	6.91217       
