Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:46:42

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	8.30117       
301.0000      	33222.5914    	8.42835       
302.0000      	33112.5828    	7.33317       
303.0000      	33003.3003    	7.33006       
304.0000      	32894.7368    	8.75214       
305.0000      	32786.8852    	7.20537       
306.0000      	32679.7386    	6.35951       
307.0000      	32573.2899    	6.47801       
308.0000      	32467.5325    	7.23023       
309.0000      	32362.4595    	7.88143       
310.0000      	32258.0645    	7.63820       
311.0000      	32154.3408    	7.07353       
312.0000      	32051.2821    	6.34657       
313.0000      	31948.8818    	7.52668       
314.0000      	31847.1338    	8.27453       
315.0000      	31746.0317    	7.80330       
316.0000      	31645.5696    	6.56415       
317.0000      	31545.7413    	5.90679       
318.0000      	31446.5409    	5.97056       
319.0000      	31347.9624    	5.79362       
320.0000      	31250.0000    	6.56758       
321.0000      	31152.6480    	6.30661       
322.0000      	31055.9006    	6.05347       
323.0000      	30959.7523    	6.03712       
324.0000      	30864.1975    	6.07331       
325.0000      	30769.2308    	6.40494       
326.0000      	30674.8466    	6.38552       
327.0000      	30581.0398    	6.12872       
328.0000      	30487.8049    	5.78132       
329.0000      	30395.1368    	5.86869       
330.0000      	30303.0303    	5.93801       
331.0000      	30211.4804    	6.34012       
332.0000      	30120.4819    	6.38411       
333.0000      	30030.0300    	6.06792       
334.0000      	29940.1198    	5.69215       
335.0000      	29850.7463    	5.41752       
336.0000      	29761.9048    	5.26918       
337.0000      	29673.5905    	5.46919       
338.0000      	29585.7988    	5.53543       
339.0000      	29498.5251    	5.39275       
340.0000      	29411.7647    	5.17461       
341.0000      	29325.5132    	5.26625       
342.0000      	29239.7661    	5.50711       
343.0000      	29154.5190    	5.38142       
344.0000      	29069.7674    	5.34857       
345.0000      	28985.5072    	5.30503       
346.0000      	28901.7341    	5.36523       
347.0000      	28818.4438    	5.47051       
348.0000      	28735.6322    	5.69754       
349.0000      	28653.2951    	5.46369       
350.0000      	28571.4286    	5.17565       
351.0000      	28490.0285    	5.05840       
352.0000      	28409.0909    	5.09643       
353.0000      	28328.6119    	5.37561       
354.0000      	28248.5876    	5.39223       
355.0000      	28169.0141    	5.02176       
356.0000      	28089.8876    	5.16288       
357.0000      	28011.2045    	5.07227       
358.0000      	27932.9609    	5.16545       
359.0000      	27855.1532    	5.37734       
360.0000      	27777.7778    	5.39432       
361.0000      	27700.8310    	5.24262       
362.0000      	27624.3094    	5.01832       
363.0000      	27548.2094    	5.21114       
364.0000      	27472.5275    	5.25331       
365.0000      	27397.2603    	5.19057       
366.0000      	27322.4044    	5.20195       
367.0000      	27247.9564    	5.31880       
368.0000      	27173.9130    	5.33085       
369.0000      	27100.2710    	5.28469       
370.0000      	27027.0270    	5.26534       
371.0000      	26954.1779    	5.20665       
372.0000      	26881.7204    	5.05682       
373.0000      	26809.6515    	5.08815       
374.0000      	26737.9679    	5.14617       
375.0000      	26666.6667    	5.17949       
376.0000      	26595.7447    	5.27800       
377.0000      	26525.1989    	5.43217       
378.0000      	26455.0265    	5.46268       
379.0000      	26385.2243    	5.47947       
380.0000      	26315.7895    	5.50405       
381.0000      	26246.7192    	5.55447       
382.0000      	26178.0105    	5.60336       
383.0000      	26109.6606    	5.52811       
384.0000      	26041.6667    	5.44484       
385.0000      	25974.0260    	5.66957       
386.0000      	25906.7358    	5.87803       
387.0000      	25839.7933    	5.78814       
388.0000      	25773.1959    	5.63158       
389.0000      	25706.9409    	5.72283       
390.0000      	25641.0256    	5.84322       
391.0000      	25575.4476    	5.81308       
392.0000      	25510.2041    	5.88309       
393.0000      	25445.2926    	6.00146       
394.0000      	25380.7107    	6.00821       
395.0000      	25316.4557    	5.99973       
396.0000      	25252.5253    	6.19311       
397.0000      	25188.9169    	6.25804       
398.0000      	25125.6281    	6.17180       
399.0000      	25062.6566    	6.14189       
400.0000      	25000.0000    	6.09421       
401.0000      	24937.6559    	6.15698       
402.0000      	24875.6219    	6.23780       
403.0000      	24813.8958    	6.36158       
404.0000      	24752.4752    	6.40307       
405.0000      	24691.3580    	6.53136       
406.0000      	24630.5419    	6.53105       
407.0000      	24570.0246    	6.55004       
408.0000      	24509.8039    	6.55455       
409.0000      	24449.8778    	6.53299       
410.0000      	24390.2439    	6.61008       
411.0000      	24330.9002    	6.69473       
412.0000      	24271.8447    	6.72390       
413.0000      	24213.0751    	6.77613       
414.0000      	24154.5894    	6.80156       
415.0000      	24096.3855    	6.76814       
416.0000      	24038.4615    	6.71329       
417.0000      	23980.8153    	6.74677       
418.0000      	23923.4450    	6.79537       
419.0000      	23866.3484    	6.90427       
420.0000      	23809.5238    	6.82679       
421.0000      	23752.9691    	6.83308       
422.0000      	23696.6825    	6.76296       
423.0000      	23640.6619    	6.83922       
424.0000      	23584.9057    	6.99244       
425.0000      	23529.4118    	7.02547       
426.0000      	23474.1784    	7.00665       
427.0000      	23419.2037    	6.93564       
428.0000      	23364.4860    	6.96826       
429.0000      	23310.0233    	7.05729       
430.0000      	23255.8140    	7.13537       
431.0000      	23201.8561    	7.14358       
432.0000      	23148.1481    	7.10805       
433.0000      	23094.6882    	7.09391       
434.0000      	23041.4747    	7.05283       
435.0000      	22988.5057    	7.12795       
436.0000      	22935.7798    	7.19221       
437.0000      	22883.2952    	7.25092       
438.0000      	22831.0502    	7.22361       
439.0000      	22779.0433    	7.23244       
440.0000      	22727.2727    	7.31286       
441.0000      	22675.7370    	7.30092       
442.0000      	22624.4344    	7.34246       
443.0000      	22573.3634    	7.52324       
444.0000      	22522.5225    	7.66064       
445.0000      	22471.9101    	7.56548       
446.0000      	22421.5247    	7.48975       
447.0000      	22371.3647    	7.54503       
448.0000      	22321.4286    	7.54820       
449.0000      	22271.7149    	7.57056       
450.0000      	22222.2222    	7.56874       
451.0000      	22172.9490    	7.58795       
452.0000      	22123.8938    	7.69115       
453.0000      	22075.0552    	7.78439       
454.0000      	22026.4317    	7.78260       
455.0000      	21978.0220    	7.75042       
456.0000      	21929.8246    	7.73197       
457.0000      	21881.8381    	7.76361       
458.0000      	21834.0611    	7.80394       
459.0000      	21786.4924    	7.88817       
460.0000      	21739.1304    	7.87084       
461.0000      	21691.9740    	7.83050       
462.0000      	21645.0216    	7.85127       
463.0000      	21598.2721    	7.98868       
464.0000      	21551.7241    	8.06906       
465.0000      	21505.3763    	8.17539       
466.0000      	21459.2275    	8.21741       
467.0000      	21413.2762    	8.18958       
468.0000      	21367.5214    	8.24247       
469.0000      	21321.9616    	8.34040       
470.0000      	21276.5957    	8.39201       
471.0000      	21231.4225    	8.41543       
472.0000      	21186.4407    	8.50503       
473.0000      	21141.6490    	8.54632       
474.0000      	21097.0464    	8.61788       
475.0000      	21052.6316    	8.65501       
476.0000      	21008.4034    	8.74007       
477.0000      	20964.3606    	8.80241       
478.0000      	20920.5021    	8.84668       
479.0000      	20876.8267    	8.92740       
480.0000      	20833.3333    	9.02347       
481.0000      	20790.0208    	9.04391       
482.0000      	20746.8880    	9.10850       
483.0000      	20703.9337    	9.15624       
484.0000      	20661.1570    	9.21608       
485.0000      	20618.5567    	9.24278       
486.0000      	20576.1317    	9.33834       
487.0000      	20533.8809    	9.41428       
