Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:46:30

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	8.70597       
301.0000      	33222.5914    	8.52765       
302.0000      	33112.5828    	8.98516       
303.0000      	33003.3003    	8.82170       
304.0000      	32894.7368    	8.13513       
305.0000      	32786.8852    	7.82282       
306.0000      	32679.7386    	8.24451       
307.0000      	32573.2899    	9.01889       
308.0000      	32467.5325    	8.41805       
309.0000      	32362.4595    	7.64854       
310.0000      	32258.0645    	6.74337       
311.0000      	32154.3408    	6.82818       
312.0000      	32051.2821    	7.72841       
313.0000      	31948.8818    	7.54526       
314.0000      	31847.1338    	7.33773       
315.0000      	31746.0317    	6.89217       
316.0000      	31645.5696    	6.75637       
317.0000      	31545.7413    	7.24748       
318.0000      	31446.5409    	7.27121       
319.0000      	31347.9624    	6.86332       
320.0000      	31250.0000    	6.28821       
321.0000      	31152.6480    	6.30643       
322.0000      	31055.9006    	6.66049       
323.0000      	30959.7523    	6.60417       
324.0000      	30864.1975    	6.31619       
325.0000      	30769.2308    	5.84281       
326.0000      	30674.8466    	5.89753       
327.0000      	30581.0398    	5.80468       
328.0000      	30487.8049    	5.77427       
329.0000      	30395.1368    	5.76587       
330.0000      	30303.0303    	5.94388       
331.0000      	30211.4804    	6.06414       
332.0000      	30120.4819    	6.07702       
333.0000      	30030.0300    	5.89015       
334.0000      	29940.1198    	6.04119       
335.0000      	29850.7463    	5.75425       
336.0000      	29761.9048    	5.49888       
337.0000      	29673.5905    	5.36852       
338.0000      	29585.7988    	5.72781       
339.0000      	29498.5251    	5.71612       
340.0000      	29411.7647    	5.74522       
341.0000      	29325.5132    	5.58431       
342.0000      	29239.7661    	5.71586       
343.0000      	29154.5190    	5.44064       
344.0000      	29069.7674    	5.38824       
345.0000      	28985.5072    	5.68232       
346.0000      	28901.7341    	5.41635       
347.0000      	28818.4438    	5.41260       
348.0000      	28735.6322    	5.03487       
349.0000      	28653.2951    	5.31602       
350.0000      	28571.4286    	5.33557       
351.0000      	28490.0285    	5.30571       
352.0000      	28409.0909    	5.11954       
353.0000      	28328.6119    	5.21161       
354.0000      	28248.5876    	5.06836       
355.0000      	28169.0141    	5.01869       
356.0000      	28089.8876    	5.28526       
357.0000      	28011.2045    	5.29779       
358.0000      	27932.9609    	5.15680       
