Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:46:42

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	10.07554      
301.0000      	33222.5914    	9.48454       
302.0000      	33112.5828    	8.36051       
303.0000      	33003.3003    	7.67179       
304.0000      	32894.7368    	7.77317       
305.0000      	32786.8852    	8.12928       
306.0000      	32679.7386    	7.81243       
307.0000      	32573.2899    	8.01256       
308.0000      	32467.5325    	7.96543       
309.0000      	32362.4595    	8.21619       
310.0000      	32258.0645    	7.65101       
311.0000      	32154.3408    	7.47960       
312.0000      	32051.2821    	7.22663       
313.0000      	31948.8818    	7.05044       
314.0000      	31847.1338    	7.27622       
315.0000      	31746.0317    	7.75356       
316.0000      	31645.5696    	7.61468       
317.0000      	31545.7413    	7.09746       
318.0000      	31446.5409    	6.86671       
319.0000      	31347.9624    	6.26058       
320.0000      	31250.0000    	6.11030       
321.0000      	31152.6480    	6.15580       
322.0000      	31055.9006    	6.36582       
323.0000      	30959.7523    	6.34689       
324.0000      	30864.1975    	6.42972       
325.0000      	30769.2308    	5.86442       
326.0000      	30674.8466    	5.82595       
327.0000      	30581.0398    	5.86618       
328.0000      	30487.8049    	6.11339       
329.0000      	30395.1368    	5.78361       
330.0000      	30303.0303    	5.78485       
331.0000      	30211.4804    	6.03885       
332.0000      	30120.4819    	6.12228       
333.0000      	30030.0300    	5.88148       
334.0000      	29940.1198    	5.72241       
335.0000      	29850.7463    	5.45345       
336.0000      	29761.9048    	5.55540       
337.0000      	29673.5905    	5.51580       
338.0000      	29585.7988    	5.65496       
339.0000      	29498.5251    	5.40122       
340.0000      	29411.7647    	5.45589       
341.0000      	29325.5132    	5.21232       
342.0000      	29239.7661    	5.42770       
343.0000      	29154.5190    	5.39796       
344.0000      	29069.7674    	5.18837       
345.0000      	28985.5072    	5.31491       
346.0000      	28901.7341    	5.22246       
347.0000      	28818.4438    	5.28809       
348.0000      	28735.6322    	5.17156       
349.0000      	28653.2951    	5.34408       
350.0000      	28571.4286    	5.35525       
351.0000      	28490.0285    	5.28525       
352.0000      	28409.0909    	5.27394       
353.0000      	28328.6119    	5.34981       
354.0000      	28248.5876    	5.39991       
355.0000      	28169.0141    	5.37193       
356.0000      	28089.8876    	5.34118       
357.0000      	28011.2045    	5.08041       
358.0000      	27932.9609    	5.07979       
359.0000      	27855.1532    	5.16692       
360.0000      	27777.7778    	5.43611       
361.0000      	27700.8310    	5.62039       
362.0000      	27624.3094    	5.55569       
363.0000      	27548.2094    	5.50036       
364.0000      	27472.5275    	5.46295       
365.0000      	27397.2603    	5.63262       
366.0000      	27322.4044    	5.69956       
367.0000      	27247.9564    	5.49024       
368.0000      	27173.9130    	5.35746       
369.0000      	27100.2710    	5.43547       
370.0000      	27027.0270    	5.60396       
371.0000      	26954.1779    	5.71636       
372.0000      	26881.7204    	5.88185       
373.0000      	26809.6515    	5.79162       
374.0000      	26737.9679    	5.77620       
375.0000      	26666.6667    	5.79471       
376.0000      	26595.7447    	5.89777       
377.0000      	26525.1989    	5.96386       
378.0000      	26455.0265    	5.92724       
379.0000      	26385.2243    	5.91106       
380.0000      	26315.7895    	5.98213       
381.0000      	26246.7192    	6.10229       
382.0000      	26178.0105    	6.24073       
383.0000      	26109.6606    	6.43144       
384.0000      	26041.6667    	6.43516       
385.0000      	25974.0260    	6.36461       
