Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:43:13

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	13.55721      
301.0000      	33222.5914    	13.70117      
302.0000      	33112.5828    	12.73677      
303.0000      	33003.3003    	12.80470      
304.0000      	32894.7368    	13.53183      
305.0000      	32786.8852    	12.70590      
306.0000      	32679.7386    	11.50269      
307.0000      	32573.2899    	11.18318      
308.0000      	32467.5325    	11.66106      
309.0000      	32362.4595    	11.50355      
310.0000      	32258.0645    	10.61573      
311.0000      	32154.3408    	10.20006      
312.0000      	32051.2821    	9.81946       
313.0000      	31948.8818    	10.42789      
314.0000      	31847.1338    	10.88906      
315.0000      	31746.0317    	10.84715      
316.0000      	31645.5696    	10.47270      
317.0000      	31545.7413    	9.71942       
318.0000      	31446.5409    	9.59891       
319.0000      	31347.9624    	8.73760       
320.0000      	31250.0000    	8.86249       
321.0000      	31152.6480    	8.41769       
322.0000      	31055.9006    	8.57605       
323.0000      	30959.7523    	8.78150       
324.0000      	30864.1975    	8.49376       
325.0000      	30769.2308    	8.14213       
326.0000      	30674.8466    	8.06203       
327.0000      	30581.0398    	8.35959       
328.0000      	30487.8049    	8.18305       
329.0000      	30395.1368    	8.12686       
330.0000      	30303.0303    	7.74759       
331.0000      	30211.4804    	7.62923       
332.0000      	30120.4819    	7.93934       
333.0000      	30030.0300    	7.77376       
334.0000      	29940.1198    	8.06122       
335.0000      	29850.7463    	7.66079       
336.0000      	29761.9048    	7.46934       
337.0000      	29673.5905    	7.53027       
338.0000      	29585.7988    	8.01828       
339.0000      	29498.5251    	8.02525       
340.0000      	29411.7647    	7.65658       
341.0000      	29325.5132    	7.51086       
342.0000      	29239.7661    	7.65190       
343.0000      	29154.5190    	7.46905       
344.0000      	29069.7674    	7.48520       
345.0000      	28985.5072    	7.61042       
346.0000      	28901.7341    	7.44187       
347.0000      	28818.4438    	7.34737       
348.0000      	28735.6322    	7.47211       
349.0000      	28653.2951    	7.56255       
350.0000      	28571.4286    	7.67215       
351.0000      	28490.0285    	7.74783       
352.0000      	28409.0909    	7.79043       
353.0000      	28328.6119    	7.73419       
354.0000      	28248.5876    	7.77094       
355.0000      	28169.0141    	7.70146       
356.0000      	28089.8876    	8.09509       
357.0000      	28011.2045    	8.05287       
358.0000      	27932.9609    	7.92379       
359.0000      	27855.1532    	8.05069       
360.0000      	27777.7778    	8.34582       
361.0000      	27700.8310    	8.54429       
362.0000      	27624.3094    	8.51187       
363.0000      	27548.2094    	8.42241       
364.0000      	27472.5275    	8.34713       
365.0000      	27397.2603    	8.27335       
366.0000      	27322.4044    	8.50083       
367.0000      	27247.9564    	8.72426       
368.0000      	27173.9130    	8.85160       
369.0000      	27100.2710    	8.94799       
370.0000      	27027.0270    	8.89764       
371.0000      	26954.1779    	8.85189       
372.0000      	26881.7204    	8.96072       
373.0000      	26809.6515    	9.11370       
374.0000      	26737.9679    	9.32945       
375.0000      	26666.6667    	9.46534       
376.0000      	26595.7447    	9.66630       
377.0000      	26525.1989    	9.79651       
378.0000      	26455.0265    	9.89221       
379.0000      	26385.2243    	10.10032      
380.0000      	26315.7895    	10.39957      
381.0000      	26246.7192    	10.59932      
382.0000      	26178.0105    	10.69485      
383.0000      	26109.6606    	11.00563      
384.0000      	26041.6667    	11.19100      
385.0000      	25974.0260    	11.38338      
386.0000      	25906.7358    	11.62024      
387.0000      	25839.7933    	12.05084      
388.0000      	25773.1959    	12.12832      
389.0000      	25706.9409    	12.33963      
390.0000      	25641.0256    	12.70338      
391.0000      	25575.4476    	12.74363      
392.0000      	25510.2041    	12.83809      
393.0000      	25445.2926    	13.08448      
394.0000      	25380.7107    	13.48620      
395.0000      	25316.4557    	13.88746      
396.0000      	25252.5253    	14.37381      
397.0000      	25188.9169    	14.72855      
398.0000      	25125.6281    	15.01042      
399.0000      	25062.6566    	15.25876      
400.0000      	25000.0000    	15.56589      
401.0000      	24937.6559    	15.99541      
402.0000      	24875.6219    	16.17451      
403.0000      	24813.8958    	16.55009      
404.0000      	24752.4752    	16.81750      
405.0000      	24691.3580    	17.31134      
406.0000      	24630.5419    	17.74609      
407.0000      	24570.0246    	18.04398      
408.0000      	24509.8039    	18.48042      
409.0000      	24449.8778    	18.99078      
410.0000      	24390.2439    	19.36102      
411.0000      	24330.9002    	19.69044      
412.0000      	24271.8447    	19.88157      
413.0000      	24213.0751    	20.34964      
414.0000      	24154.5894    	20.71913      
415.0000      	24096.3855    	21.03955      
416.0000      	24038.4615    	21.25578      
417.0000      	23980.8153    	21.44320      
418.0000      	23923.4450    	21.64769      
419.0000      	23866.3484    	21.91485      
420.0000      	23809.5238    	21.99807      
421.0000      	23752.9691    	22.00477      
422.0000      	23696.6825    	21.94791      
423.0000      	23640.6619    	22.15810      
424.0000      	23584.9057    	22.48001      
425.0000      	23529.4118    	22.58110      
426.0000      	23474.1784    	22.77875      
427.0000      	23419.2037    	22.96153      
428.0000      	23364.4860    	23.08681      
429.0000      	23310.0233    	23.10466      
430.0000      	23255.8140    	23.21591      
431.0000      	23201.8561    	23.42710      
432.0000      	23148.1481    	23.63058      
433.0000      	23094.6882    	23.67552      
434.0000      	23041.4747    	23.76911      
435.0000      	22988.5057    	24.03876      
436.0000      	22935.7798    	24.23177      
437.0000      	22883.2952    	24.49813      
438.0000      	22831.0502    	24.52830      
439.0000      	22779.0433    	24.67431      
440.0000      	22727.2727    	24.83427      
441.0000      	22675.7370    	25.01892      
442.0000      	22624.4344    	25.05717      
443.0000      	22573.3634    	25.15179      
444.0000      	22522.5225    	25.19460      
445.0000      	22471.9101    	25.24379      
446.0000      	22421.5247    	25.26500      
447.0000      	22371.3647    	25.40760      
448.0000      	22321.4286    	25.30292      
449.0000      	22271.7149    	25.23648      
450.0000      	22222.2222    	25.19958      
451.0000      	22172.9490    	25.30720      
452.0000      	22123.8938    	25.45537      
453.0000      	22075.0552    	25.55039      
454.0000      	22026.4317    	25.70620      
455.0000      	21978.0220    	25.72887      
456.0000      	21929.8246    	25.91100      
457.0000      	21881.8381    	25.96457      
458.0000      	21834.0611    	26.00649      
459.0000      	21786.4924    	26.19580      
460.0000      	21739.1304    	26.34999      
461.0000      	21691.9740    	26.58655      
462.0000      	21645.0216    	26.68924      
463.0000      	21598.2721    	26.91299      
464.0000      	21551.7241    	27.01344      
465.0000      	21505.3763    	27.27023      
466.0000      	21459.2275    	27.49772      
467.0000      	21413.2762    	27.49168      
468.0000      	21367.5214    	27.58322      
469.0000      	21321.9616    	27.80328      
470.0000      	21276.5957    	27.98199      
471.0000      	21231.4225    	28.25148      
472.0000      	21186.4407    	28.56461      
473.0000      	21141.6490    	28.83146      
474.0000      	21097.0464    	29.15771      
475.0000      	21052.6316    	29.42893      
476.0000      	21008.4034    	29.61446      
477.0000      	20964.3606    	29.84179      
478.0000      	20920.5021    	29.92596      
479.0000      	20876.8267    	30.17883      
480.0000      	20833.3333    	30.44748      
481.0000      	20790.0208    	30.80862      
482.0000      	20746.8880    	31.13123      
483.0000      	20703.9337    	31.38462      
484.0000      	20661.1570    	31.62508      
485.0000      	20618.5567    	31.79517      
486.0000      	20576.1317    	32.09853      
487.0000      	20533.8809    	32.39967      
488.0000      	20491.8033    	32.63894      
489.0000      	20449.8978    	32.97464      
490.0000      	20408.1633    	33.24433      
491.0000      	20366.5988    	33.54623      
492.0000      	20325.2033    	33.70554      
493.0000      	20283.9757    	34.03716      
494.0000      	20242.9150    	34.25493      
495.0000      	20202.0202    	34.44825      
496.0000      	20161.2903    	34.70967      
497.0000      	20120.7243    	34.95767      
498.0000      	20080.3213    	35.15087      
499.0000      	20040.0802    	35.20998      
500.0000      	20000.0000    	35.34798      
501.0000      	19960.0798    	35.45715      
502.0000      	19920.3187    	35.55833      
503.0000      	19880.7157    	35.59709      
504.0000      	19841.2698    	35.65194      
505.0000      	19801.9802    	35.54120      
506.0000      	19762.8458    	35.46745      
507.0000      	19723.8659    	35.32214      
508.0000      	19685.0394    	35.20342      
509.0000      	19646.3654    	34.95997      
510.0000      	19607.8431    	34.67628      
511.0000      	19569.4716    	34.27807      
512.0000      	19531.2500    	33.78078      
513.0000      	19493.1774    	33.52959      
514.0000      	19455.2529    	33.11160      
515.0000      	19417.4757    	32.64650      
516.0000      	19379.8450    	32.02070      
517.0000      	19342.3598    	31.36472      
518.0000      	19305.0193    	30.72007      
519.0000      	19267.8227    	30.40170      
520.0000      	19230.7692    	29.72797      
521.0000      	19193.8580    	29.03112      
522.0000      	19157.0881    	28.39018      
523.0000      	19120.4589    	27.76664      
524.0000      	19083.9695    	27.14300      
525.0000      	19047.6190    	26.51760      
526.0000      	19011.4068    	26.22943      
527.0000      	18975.3321    	25.70678      
528.0000      	18939.3939    	25.21822      
529.0000      	18903.5917    	24.77578      
530.0000      	18867.9245    	24.40916      
531.0000      	18832.3917    	24.03991      
532.0000      	18796.9925    	23.71959      
533.0000      	18761.7261    	23.60693      
534.0000      	18726.5918    	23.40401      
535.0000      	18691.5888    	23.21815      
