Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:48:56

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	14.46003      
301.0000      	33222.5914    	15.11066      
302.0000      	33112.5828    	14.40894      
303.0000      	33003.3003    	13.64842      
304.0000      	32894.7368    	12.94143      
305.0000      	32786.8852    	12.27445      
306.0000      	32679.7386    	12.24147      
307.0000      	32573.2899    	12.11364      
308.0000      	32467.5325    	12.17674      
309.0000      	32362.4595    	11.07185      
310.0000      	32258.0645    	11.05004      
311.0000      	32154.3408    	11.31657      
312.0000      	32051.2821    	10.93156      
313.0000      	31948.8818    	10.65230      
314.0000      	31847.1338    	10.25964      
315.0000      	31746.0317    	10.06191      
316.0000      	31645.5696    	9.98638       
317.0000      	31545.7413    	9.75377       
318.0000      	31446.5409    	9.35618       
319.0000      	31347.9624    	9.33208       
320.0000      	31250.0000    	9.18949       
321.0000      	31152.6480    	8.74210       
322.0000      	31055.9006    	8.68290       
323.0000      	30959.7523    	8.92035       
324.0000      	30864.1975    	8.65603       
325.0000      	30769.2308    	8.59286       
326.0000      	30674.8466    	8.45884       
327.0000      	30581.0398    	8.28940       
328.0000      	30487.8049    	7.75403       
329.0000      	30395.1368    	8.10371       
330.0000      	30303.0303    	8.26989       
331.0000      	30211.4804    	8.38345       
332.0000      	30120.4819    	8.39090       
333.0000      	30030.0300    	8.26669       
334.0000      	29940.1198    	8.49974       
335.0000      	29850.7463    	8.29887       
336.0000      	29761.9048    	8.21112       
337.0000      	29673.5905    	8.23019       
338.0000      	29585.7988    	8.48606       
339.0000      	29498.5251    	8.22707       
340.0000      	29411.7647    	8.21986       
341.0000      	29325.5132    	8.44141       
342.0000      	29239.7661    	8.60784       
343.0000      	29154.5190    	8.39924       
344.0000      	29069.7674    	8.58738       
345.0000      	28985.5072    	8.72987       
346.0000      	28901.7341    	8.61447       
347.0000      	28818.4438    	8.42766       
348.0000      	28735.6322    	8.55826       
349.0000      	28653.2951    	8.80559       
350.0000      	28571.4286    	9.12931       
351.0000      	28490.0285    	9.27544       
352.0000      	28409.0909    	9.11118       
353.0000      	28328.6119    	9.17053       
354.0000      	28248.5876    	9.56357       
355.0000      	28169.0141    	9.73332       
356.0000      	28089.8876    	10.11906      
357.0000      	28011.2045    	10.21275      
358.0000      	27932.9609    	10.40594      
359.0000      	27855.1532    	10.54513      
360.0000      	27777.7778    	10.81641      
361.0000      	27700.8310    	10.84810      
362.0000      	27624.3094    	11.03188      
363.0000      	27548.2094    	11.33581      
364.0000      	27472.5275    	11.71064      
365.0000      	27397.2603    	11.96087      
366.0000      	27322.4044    	11.97850      
367.0000      	27247.9564    	12.12742      
368.0000      	27173.9130    	12.16349      
369.0000      	27100.2710    	12.31474      
370.0000      	27027.0270    	12.57381      
371.0000      	26954.1779    	12.75511      
372.0000      	26881.7204    	13.16130      
373.0000      	26809.6515    	13.39704      
374.0000      	26737.9679    	13.72749      
375.0000      	26666.6667    	13.84595      
376.0000      	26595.7447    	14.12721      
377.0000      	26525.1989    	14.52086      
378.0000      	26455.0265    	14.98977      
379.0000      	26385.2243    	15.35170      
380.0000      	26315.7895    	15.78853      
381.0000      	26246.7192    	16.24472      
382.0000      	26178.0105    	16.50207      
383.0000      	26109.6606    	16.96086      
384.0000      	26041.6667    	17.24447      
385.0000      	25974.0260    	17.65838      
386.0000      	25906.7358    	18.09992      
387.0000      	25839.7933    	18.58073      
388.0000      	25773.1959    	18.86665      
389.0000      	25706.9409    	19.33977      
390.0000      	25641.0256    	19.77110      
391.0000      	25575.4476    	20.03029      
392.0000      	25510.2041    	20.35871      
393.0000      	25445.2926    	21.00745      
394.0000      	25380.7107    	21.57599      
395.0000      	25316.4557    	21.84602      
396.0000      	25252.5253    	22.34615      
397.0000      	25188.9169    	22.93952      
398.0000      	25125.6281    	23.65341      
399.0000      	25062.6566    	24.22619      
400.0000      	25000.0000    	24.88440      
401.0000      	24937.6559    	25.57606      
402.0000      	24875.6219    	25.99434      
403.0000      	24813.8958    	26.72347      
404.0000      	24752.4752    	27.52450      
405.0000      	24691.3580    	28.51789      
406.0000      	24630.5419    	29.38735      
407.0000      	24570.0246    	30.45795      
408.0000      	24509.8039    	31.65254      
409.0000      	24449.8778    	32.61932      
410.0000      	24390.2439    	33.48523      
411.0000      	24330.9002    	34.46014      
412.0000      	24271.8447    	35.05088      
413.0000      	24213.0751    	36.08936      
414.0000      	24154.5894    	36.95874      
415.0000      	24096.3855    	37.66877      
416.0000      	24038.4615    	38.49958      
417.0000      	23980.8153    	39.09932      
418.0000      	23923.4450    	39.22796      
419.0000      	23866.3484    	39.46542      
420.0000      	23809.5238    	39.88044      
421.0000      	23752.9691    	40.22070      
422.0000      	23696.6825    	40.58841      
423.0000      	23640.6619    	40.75035      
424.0000      	23584.9057    	41.02437      
425.0000      	23529.4118    	41.47244      
426.0000      	23474.1784    	41.91636      
427.0000      	23419.2037    	42.37477      
428.0000      	23364.4860    	42.64966      
429.0000      	23310.0233    	42.78328      
430.0000      	23255.8140    	42.90338      
431.0000      	23201.8561    	43.22778      
432.0000      	23148.1481    	43.67198      
433.0000      	23094.6882    	44.05140      
434.0000      	23041.4747    	44.20166      
435.0000      	22988.5057    	44.49502      
436.0000      	22935.7798    	44.95832      
437.0000      	22883.2952    	45.22477      
438.0000      	22831.0502    	45.20462      
439.0000      	22779.0433    	45.18560      
440.0000      	22727.2727    	45.41011      
441.0000      	22675.7370    	45.49883      
442.0000      	22624.4344    	45.42145      
443.0000      	22573.3634    	45.41494      
