Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:49:08

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	14.35495      
301.0000      	33222.5914    	14.08465      
302.0000      	33112.5828    	13.53454      
303.0000      	33003.3003    	13.57207      
304.0000      	32894.7368    	13.78330      
305.0000      	32786.8852    	13.48670      
306.0000      	32679.7386    	12.43282      
307.0000      	32573.2899    	12.04958      
308.0000      	32467.5325    	12.54048      
309.0000      	32362.4595    	11.37936      
310.0000      	32258.0645    	10.74104      
311.0000      	32154.3408    	10.87862      
312.0000      	32051.2821    	10.23698      
313.0000      	31948.8818    	10.12118      
314.0000      	31847.1338    	10.03934      
315.0000      	31746.0317    	9.85360       
316.0000      	31645.5696    	10.50647      
317.0000      	31545.7413    	10.31944      
318.0000      	31446.5409    	9.89313       
319.0000      	31347.9624    	9.52888       
320.0000      	31250.0000    	9.33526       
321.0000      	31152.6480    	8.87625       
322.0000      	31055.9006    	8.64820       
323.0000      	30959.7523    	8.59345       
324.0000      	30864.1975    	8.49290       
325.0000      	30769.2308    	8.58288       
326.0000      	30674.8466    	8.87026       
327.0000      	30581.0398    	9.21780       
328.0000      	30487.8049    	8.76048       
329.0000      	30395.1368    	8.45319       
330.0000      	30303.0303    	8.15398       
331.0000      	30211.4804    	8.10893       
332.0000      	30120.4819    	8.29685       
333.0000      	30030.0300    	8.20396       
334.0000      	29940.1198    	8.42942       
335.0000      	29850.7463    	8.13435       
336.0000      	29761.9048    	8.05069       
337.0000      	29673.5905    	8.03065       
338.0000      	29585.7988    	8.19700       
339.0000      	29498.5251    	8.38690       
340.0000      	29411.7647    	8.34365       
341.0000      	29325.5132    	8.29565       
342.0000      	29239.7661    	8.30183       
343.0000      	29154.5190    	8.14497       
344.0000      	29069.7674    	8.12418       
345.0000      	28985.5072    	8.16964       
346.0000      	28901.7341    	8.32919       
347.0000      	28818.4438    	8.33422       
348.0000      	28735.6322    	8.57260       
349.0000      	28653.2951    	8.92157       
350.0000      	28571.4286    	9.06949       
351.0000      	28490.0285    	9.09855       
352.0000      	28409.0909    	9.11813       
353.0000      	28328.6119    	9.39972       
354.0000      	28248.5876    	9.70323       
355.0000      	28169.0141    	9.80068       
356.0000      	28089.8876    	10.26437      
357.0000      	28011.2045    	10.38158      
358.0000      	27932.9609    	10.58533      
359.0000      	27855.1532    	10.80967      
360.0000      	27777.7778    	11.10969      
361.0000      	27700.8310    	11.10452      
362.0000      	27624.3094    	11.14559      
363.0000      	27548.2094    	11.22655      
364.0000      	27472.5275    	11.32509      
365.0000      	27397.2603    	11.42918      
366.0000      	27322.4044    	11.67879      
367.0000      	27247.9564    	11.92189      
368.0000      	27173.9130    	12.27796      
369.0000      	27100.2710    	12.54256      
370.0000      	27027.0270    	12.77670      
371.0000      	26954.1779    	12.81523      
372.0000      	26881.7204    	13.11060      
373.0000      	26809.6515    	13.44450      
374.0000      	26737.9679    	13.85267      
375.0000      	26666.6667    	14.07941      
376.0000      	26595.7447    	14.45467      
377.0000      	26525.1989    	14.73682      
378.0000      	26455.0265    	15.04134      
379.0000      	26385.2243    	15.49570      
380.0000      	26315.7895    	16.08988      
381.0000      	26246.7192    	16.50656      
382.0000      	26178.0105    	16.65917      
383.0000      	26109.6606    	17.15586      
384.0000      	26041.6667    	17.47095      
385.0000      	25974.0260    	17.93070      
386.0000      	25906.7358    	18.29241      
387.0000      	25839.7933    	18.70468      
388.0000      	25773.1959    	19.04529      
389.0000      	25706.9409    	19.48604      
390.0000      	25641.0256    	19.92488      
391.0000      	25575.4476    	20.24287      
392.0000      	25510.2041    	20.51225      
393.0000      	25445.2926    	20.96478      
394.0000      	25380.7107    	21.44404      
395.0000      	25316.4557    	21.89668      
396.0000      	25252.5253    	22.48484      
397.0000      	25188.9169    	23.09700      
398.0000      	25125.6281    	23.71139      
399.0000      	25062.6566    	24.38792      
400.0000      	25000.0000    	25.10436      
401.0000      	24937.6559    	25.87107      
402.0000      	24875.6219    	26.25074      
403.0000      	24813.8958    	26.98286      
404.0000      	24752.4752    	27.93016      
405.0000      	24691.3580    	29.01921      
406.0000      	24630.5419    	29.78867      
407.0000      	24570.0246    	30.77106      
408.0000      	24509.8039    	31.71825      
409.0000      	24449.8778    	32.60525      
410.0000      	24390.2439    	33.54847      
411.0000      	24330.9002    	34.60386      
412.0000      	24271.8447    	35.11767      
413.0000      	24213.0751    	36.12301      
414.0000      	24154.5894    	37.05301      
415.0000      	24096.3855    	37.73221      
416.0000      	24038.4615    	38.18336      
417.0000      	23980.8153    	38.58553      
418.0000      	23923.4450    	38.92398      
419.0000      	23866.3484    	39.38433      
420.0000      	23809.5238    	39.66295      
421.0000      	23752.9691    	39.87274      
422.0000      	23696.6825    	40.30190      
423.0000      	23640.6619    	40.81942      
424.0000      	23584.9057    	41.20667      
425.0000      	23529.4118    	41.39496      
426.0000      	23474.1784    	41.68204      
427.0000      	23419.2037    	42.03446      
428.0000      	23364.4860    	42.33997      
429.0000      	23310.0233    	42.64234      
430.0000      	23255.8140    	42.82222      
431.0000      	23201.8561    	43.27439      
432.0000      	23148.1481    	43.64641      
433.0000      	23094.6882    	43.98042      
434.0000      	23041.4747    	44.29102      
435.0000      	22988.5057    	44.56664      
436.0000      	22935.7798    	44.76389      
437.0000      	22883.2952    	45.08028      
438.0000      	22831.0502    	45.19058      
439.0000      	22779.0433    	45.30922      
440.0000      	22727.2727    	45.37365      
441.0000      	22675.7370    	45.34927      
442.0000      	22624.4344    	45.25861      
443.0000      	22573.3634    	45.27311      
444.0000      	22522.5225    	45.26164      
445.0000      	22471.9101    	45.35389      
446.0000      	22421.5247    	45.38050      
447.0000      	22371.3647    	45.31703      
448.0000      	22321.4286    	45.02756      
449.0000      	22271.7149    	44.80744      
450.0000      	22222.2222    	44.55068      
451.0000      	22172.9490    	44.44574      
452.0000      	22123.8938    	44.66036      
453.0000      	22075.0552    	44.78524      
454.0000      	22026.4317    	44.78799      
455.0000      	21978.0220    	44.79188      
456.0000      	21929.8246    	44.95734      
457.0000      	21881.8381    	45.04462      
458.0000      	21834.0611    	45.01804      
459.0000      	21786.4924    	45.03443      
460.0000      	21739.1304    	44.97936      
461.0000      	21691.9740    	44.99762      
462.0000      	21645.0216    	45.05418      
463.0000      	21598.2721    	45.22779      
464.0000      	21551.7241    	45.31805      
465.0000      	21505.3763    	45.42777      
466.0000      	21459.2275    	45.56302      
467.0000      	21413.2762    	45.50651      
468.0000      	21367.5214    	45.60826      
469.0000      	21321.9616    	45.85667      
470.0000      	21276.5957    	46.05511      
471.0000      	21231.4225    	46.24728      
472.0000      	21186.4407    	46.44510      
473.0000      	21141.6490    	46.71562      
474.0000      	21097.0464    	47.07607      
475.0000      	21052.6316    	47.33452      
476.0000      	21008.4034    	47.49556      
477.0000      	20964.3606    	47.63408      
478.0000      	20920.5021    	47.68335      
479.0000      	20876.8267    	47.76948      
480.0000      	20833.3333    	47.96160      
481.0000      	20790.0208    	48.19096      
482.0000      	20746.8880    	48.43195      
483.0000      	20703.9337    	48.62819      
484.0000      	20661.1570    	48.87860      
485.0000      	20618.5567    	49.00051      
486.0000      	20576.1317    	49.17763      
487.0000      	20533.8809    	49.35565      
488.0000      	20491.8033    	49.50024      
489.0000      	20449.8978    	49.75285      
490.0000      	20408.1633    	49.92075      
491.0000      	20366.5988    	50.14407      
492.0000      	20325.2033    	50.27007      
493.0000      	20283.9757    	50.52167      
494.0000      	20242.9150    	50.71939      
495.0000      	20202.0202    	50.83887      
496.0000      	20161.2903    	50.96134      
497.0000      	20120.7243    	51.11950      
498.0000      	20080.3213    	51.28064      
499.0000      	20040.0802    	51.35166      
500.0000      	20000.0000    	51.41243      
501.0000      	19960.0798    	51.42370      
502.0000      	19920.3187    	51.46345      
503.0000      	19880.7157    	51.50405      
504.0000      	19841.2698    	51.49354      
505.0000      	19801.9802    	51.32896      
506.0000      	19762.8458    	51.24831      
507.0000      	19723.8659    	51.12045      
508.0000      	19685.0394    	51.02533      
509.0000      	19646.3654    	50.79963      
510.0000      	19607.8431    	50.52038      
511.0000      	19569.4716    	50.26597      
512.0000      	19531.2500    	49.88823      
513.0000      	19493.1774    	49.67765      
514.0000      	19455.2529    	49.24030      
515.0000      	19417.4757    	48.81417      
516.0000      	19379.8450    	48.37397      
517.0000      	19342.3598    	47.89101      
518.0000      	19305.0193    	47.42267      
519.0000      	19267.8227    	47.15035      
520.0000      	19230.7692    	46.64017      
521.0000      	19193.8580    	46.05426      
522.0000      	19157.0881    	45.50735      
523.0000      	19120.4589    	44.99629      
524.0000      	19083.9695    	44.49518      
525.0000      	19047.6190    	43.92476      
526.0000      	19011.4068    	43.64006      
527.0000      	18975.3321    	43.12223      
528.0000      	18939.3939    	42.67089      
529.0000      	18903.5917    	42.35020      
530.0000      	18867.9245    	42.01002      
531.0000      	18832.3917    	41.70257      
532.0000      	18796.9925    	41.40655      
533.0000      	18761.7261    	41.26693      
534.0000      	18726.5918    	41.03466      
535.0000      	18691.5888    	40.82903      
536.0000      	18656.7164    	40.59757      
537.0000      	18621.9739    	40.40799      
538.0000      	18587.3606    	40.30241      
539.0000      	18552.8757    	40.25755      
540.0000      	18518.5185    	40.21064      
541.0000      	18484.2884    	40.09083      
542.0000      	18450.1845    	40.07174      
543.0000      	18416.2063    	40.10726      
544.0000      	18382.3529    	40.08113      
545.0000      	18348.6239    	40.03861      
546.0000      	18315.0183    	39.99668      
547.0000      	18281.5356    	39.95817      
548.0000      	18248.1752    	39.89481      
549.0000      	18214.9362    	39.73230      
550.0000      	18181.8182    	39.56281      
551.0000      	18148.8203    	39.43260      
552.0000      	18115.9420    	39.08769      
553.0000      	18083.1826    	38.77890      
554.0000      	18050.5415    	38.48876      
555.0000      	18018.0180    	38.12249      
556.0000      	17985.6115    	37.76299      
557.0000      	17953.3214    	37.41146      
558.0000      	17921.1470    	37.23683      
559.0000      	17889.0877    	36.81297      
560.0000      	17857.1429    	36.39449      
561.0000      	17825.3119    	35.98633      
562.0000      	17793.5943    	35.52656      
563.0000      	17761.9893    	35.14814      
564.0000      	17730.4965    	34.98199      
565.0000      	17699.1150    	34.68663      
566.0000      	17667.8445    	34.36746      
567.0000      	17636.6843    	34.09156      
568.0000      	17605.6338    	33.86374      
569.0000      	17574.6924    	33.68996      
570.0000      	17543.8596    	33.64567      
571.0000      	17513.1349    	33.61925      
572.0000      	17482.5175    	33.71800      
573.0000      	17452.0070    	33.91885      
574.0000      	17421.6028    	34.11964      
575.0000      	17391.3043    	34.20885      
576.0000      	17361.1111    	34.49605      
577.0000      	17331.0225    	34.94792      
578.0000      	17301.0381    	35.41691      
579.0000      	17271.1572    	35.94547      
580.0000      	17241.3793    	36.50564      
581.0000      	17211.7040    	36.85864      
582.0000      	17182.1306    	37.47484      
583.0000      	17152.6587    	38.03926      
584.0000      	17123.2877    	38.58475      
585.0000      	17094.0171    	39.25626      
586.0000      	17064.8464    	39.82882      
587.0000      	17035.7751    	40.07227      
588.0000      	17006.8027    	40.50248      
589.0000      	16977.9287    	41.00232      
590.0000      	16949.1525    	41.45151      
591.0000      	16920.4738    	41.82440      
592.0000      	16891.8919    	42.14388      
593.0000      	16863.4064    	42.28115      
594.0000      	16835.0168    	42.52827      
595.0000      	16806.7227    	42.71556      
596.0000      	16778.5235    	42.86749      
597.0000      	16750.4188    	43.03465      
598.0000      	16722.4080    	43.14823      
599.0000      	16694.4908    	43.15243      
600.0000      	16666.6667    	43.13350      
601.0000      	16638.9351    	43.22831      
602.0000      	16611.2957    	43.38468      
603.0000      	16583.7479    	43.34224      
604.0000      	16556.2914    	43.26976      
605.0000      	16528.9256    	43.21066      
606.0000      	16501.6502    	43.25756      
607.0000      	16474.4646    	43.28975      
608.0000      	16447.3684    	43.20119      
609.0000      	16420.3612    	43.17595      
610.0000      	16393.4426    	43.16726      
611.0000      	16366.6121    	43.24030      
612.0000      	16339.8693    	43.20023      
613.0000      	16313.2137    	43.09146      
614.0000      	16286.6450    	43.09849      
615.0000      	16260.1626    	43.11675      
616.0000      	16233.7662    	43.10867      
617.0000      	16207.4554    	43.12952      
618.0000      	16181.2298    	43.07172      
619.0000      	16155.0889    	43.15326      
620.0000      	16129.0323    	43.16447      
621.0000      	16103.0596    	43.15702      
622.0000      	16077.1704    	43.07712      
623.0000      	16051.3644    	43.10024      
624.0000      	16025.6410    	43.09550      
625.0000      	16000.0000    	43.02913      
626.0000      	15974.4409    	43.03970      
627.0000      	15948.9633    	43.13461      
628.0000      	15923.5669    	43.25334      
629.0000      	15898.2512    	43.38368      
630.0000      	15873.0159    	43.34164      
631.0000      	15847.8605    	43.32021      
632.0000      	15822.7848    	43.32161      
633.0000      	15797.7883    	43.44315      
634.0000      	15772.8707    	43.60854      
635.0000      	15748.0315    	43.73782      
636.0000      	15723.2704    	43.83344      
637.0000      	15698.5871    	43.87289      
638.0000      	15673.9812    	43.96148      
639.0000      	15649.4523    	44.08877      
640.0000      	15625.0000    	44.20604      
641.0000      	15600.6240    	44.20215      
642.0000      	15576.3240    	44.24976      
643.0000      	15552.0995    	44.45514      
644.0000      	15527.9503    	44.75013      
645.0000      	15503.8760    	45.08266      
646.0000      	15479.8762    	45.34704      
647.0000      	15455.9505    	45.42768      
648.0000      	15432.0988    	45.58321      
649.0000      	15408.3205    	45.75206      
650.0000      	15384.6154    	46.00818      
651.0000      	15360.9831    	46.19667      
652.0000      	15337.4233    	46.47902      
653.0000      	15313.9357    	46.64082      
654.0000      	15290.5199    	46.97801      
655.0000      	15267.1756    	47.28212      
656.0000      	15243.9024    	47.51076      
657.0000      	15220.7002    	47.55300      
658.0000      	15197.5684    	47.67560      
659.0000      	15174.5068    	47.85934      
660.0000      	15151.5152    	48.20390      
661.0000      	15128.5930    	48.41326      
662.0000      	15105.7402    	48.72876      
663.0000      	15082.9563    	48.83432      
664.0000      	15060.2410    	48.90301      
665.0000      	15037.5940    	48.93847      
666.0000      	15015.0150    	48.97210      
667.0000      	14992.5037    	49.03849      
668.0000      	14970.0599    	49.10117      
669.0000      	14947.6831    	49.23462      
670.0000      	14925.3731    	49.33250      
671.0000      	14903.1297    	49.33184      
672.0000      	14880.9524    	49.24096      
673.0000      	14858.8410    	49.23325      
674.0000      	14836.7953    	49.20013      
675.0000      	14814.8148    	49.19599      
676.0000      	14792.8994    	49.21973      
677.0000      	14771.0487    	49.24529      
678.0000      	14749.2625    	49.20101      
679.0000      	14727.5405    	49.01408      
680.0000      	14705.8824    	48.77114      
681.0000      	14684.2878    	48.68259      
682.0000      	14662.7566    	48.56887      
683.0000      	14641.2884    	48.50389      
684.0000      	14619.8830    	48.27923      
685.0000      	14598.5401    	48.15785      
686.0000      	14577.2595    	48.05868      
687.0000      	14556.0408    	47.89721      
688.0000      	14534.8837    	47.76417      
689.0000      	14513.7881    	47.54299      
690.0000      	14492.7536    	47.52859      
691.0000      	14471.7800    	47.54338      
692.0000      	14450.8671    	47.28804      
693.0000      	14430.0144    	47.28160      
694.0000      	14409.2219    	47.39455      
695.0000      	14388.4892    	47.47856      
696.0000      	14367.8161    	47.24958      
697.0000      	14347.2023    	47.01420      
698.0000      	14326.6476    	46.94622      
699.0000      	14306.1516    	46.70472      
700.0000      	14285.7143    	46.58703      
701.0000      	14265.3352    	46.55156      
