Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:53:16

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	16.20990      
301.0000      	33222.5914    	15.73687      
302.0000      	33112.5828    	15.03380      
303.0000      	33003.3003    	14.24781      
304.0000      	32894.7368    	13.82339      
305.0000      	32786.8852    	14.31291      
306.0000      	32679.7386    	14.10506      
307.0000      	32573.2899    	12.68537      
308.0000      	32467.5325    	12.01713      
309.0000      	32362.4595    	11.28622      
310.0000      	32258.0645    	11.97989      
311.0000      	32154.3408    	11.83293      
312.0000      	32051.2821    	11.35681      
313.0000      	31948.8818    	10.59994      
314.0000      	31847.1338    	11.04884      
315.0000      	31746.0317    	11.30238      
316.0000      	31645.5696    	10.93650      
317.0000      	31545.7413    	10.24537      
318.0000      	31446.5409    	9.68823       
319.0000      	31347.9624    	9.26715       
320.0000      	31250.0000    	9.38550       
321.0000      	31152.6480    	9.48702       
322.0000      	31055.9006    	9.88300       
323.0000      	30959.7523    	9.42300       
324.0000      	30864.1975    	8.74229       
325.0000      	30769.2308    	8.39910       
326.0000      	30674.8466    	8.58462       
327.0000      	30581.0398    	9.27204       
328.0000      	30487.8049    	8.96456       
329.0000      	30395.1368    	8.86240       
330.0000      	30303.0303    	8.79943       
331.0000      	30211.4804    	8.88933       
332.0000      	30120.4819    	9.13844       
333.0000      	30030.0300    	9.11552       
334.0000      	29940.1198    	8.96347       
335.0000      	29850.7463    	8.56210       
336.0000      	29761.9048    	8.33443       
337.0000      	29673.5905    	8.81775       
338.0000      	29585.7988    	9.08638       
339.0000      	29498.5251    	8.78355       
340.0000      	29411.7647    	8.58781       
341.0000      	29325.5132    	8.77782       
342.0000      	29239.7661    	9.01026       
343.0000      	29154.5190    	8.94856       
344.0000      	29069.7674    	9.17776       
345.0000      	28985.5072    	9.45232       
346.0000      	28901.7341    	9.48212       
347.0000      	28818.4438    	9.41986       
348.0000      	28735.6322    	9.51391       
349.0000      	28653.2951    	9.72081       
350.0000      	28571.4286    	9.79921       
351.0000      	28490.0285    	9.97413       
352.0000      	28409.0909    	9.98807       
353.0000      	28328.6119    	10.15988      
354.0000      	28248.5876    	10.60016      
355.0000      	28169.0141    	10.91363      
356.0000      	28089.8876    	11.31708      
357.0000      	28011.2045    	11.33149      
358.0000      	27932.9609    	11.70918      
359.0000      	27855.1532    	12.01294      
360.0000      	27777.7778    	12.52146      
361.0000      	27700.8310    	12.64264      
362.0000      	27624.3094    	12.85265      
363.0000      	27548.2094    	12.93854      
364.0000      	27472.5275    	13.12643      
365.0000      	27397.2603    	13.40001      
366.0000      	27322.4044    	13.75108      
367.0000      	27247.9564    	14.05387      
368.0000      	27173.9130    	14.35846      
369.0000      	27100.2710    	14.76740      
370.0000      	27027.0270    	15.13298      
371.0000      	26954.1779    	15.29662      
372.0000      	26881.7204    	15.72427      
373.0000      	26809.6515    	15.88682      
374.0000      	26737.9679    	16.16213      
375.0000      	26666.6667    	16.50992      
376.0000      	26595.7447    	17.19778      
377.0000      	26525.1989    	17.69606      
378.0000      	26455.0265    	18.14081      
379.0000      	26385.2243    	18.67333      
380.0000      	26315.7895    	19.33628      
381.0000      	26246.7192    	19.85061      
382.0000      	26178.0105    	20.13808      
383.0000      	26109.6606    	20.63127      
384.0000      	26041.6667    	20.90998      
385.0000      	25974.0260    	21.34535      
386.0000      	25906.7358    	21.88474      
387.0000      	25839.7933    	22.64519      
388.0000      	25773.1959    	23.11404      
389.0000      	25706.9409    	23.69590      
390.0000      	25641.0256    	24.27856      
391.0000      	25575.4476    	24.80106      
392.0000      	25510.2041    	25.03974      
393.0000      	25445.2926    	25.54617      
394.0000      	25380.7107    	25.98904      
395.0000      	25316.4557    	26.50444      
396.0000      	25252.5253    	27.05663      
397.0000      	25188.9169    	27.79633      
398.0000      	25125.6281    	28.80120      
399.0000      	25062.6566    	29.82915      
400.0000      	25000.0000    	30.50081      
401.0000      	24937.6559    	31.22721      
402.0000      	24875.6219    	31.76488      
403.0000      	24813.8958    	33.06583      
404.0000      	24752.4752    	34.39293      
405.0000      	24691.3580    	35.63351      
406.0000      	24630.5419    	36.94225      
407.0000      	24570.0246    	38.37146      
408.0000      	24509.8039    	39.68901      
409.0000      	24449.8778    	40.90309      
410.0000      	24390.2439    	42.28177      
411.0000      	24330.9002    	43.98068      
412.0000      	24271.8447    	44.82397      
413.0000      	24213.0751    	46.42974      
414.0000      	24154.5894    	47.73631      
415.0000      	24096.3855    	48.75034      
416.0000      	24038.4615    	49.49237      
417.0000      	23980.8153    	50.26700      
418.0000      	23923.4450    	50.98192      
419.0000      	23866.3484    	51.69466      
420.0000      	23809.5238    	52.21507      
421.0000      	23752.9691    	52.51535      
422.0000      	23696.6825    	52.91507      
423.0000      	23640.6619    	53.40435      
424.0000      	23584.9057    	53.92533      
425.0000      	23529.4118    	54.39885      
426.0000      	23474.1784    	54.85043      
427.0000      	23419.2037    	55.28032      
428.0000      	23364.4860    	55.59876      
429.0000      	23310.0233    	56.03096      
430.0000      	23255.8140    	56.32813      
431.0000      	23201.8561    	57.00216      
432.0000      	23148.1481    	57.56916      
433.0000      	23094.6882    	58.04680      
434.0000      	23041.4747    	58.20842      
435.0000      	22988.5057    	58.51250      
436.0000      	22935.7798    	58.89606      
437.0000      	22883.2952    	59.38402      
438.0000      	22831.0502    	59.43143      
439.0000      	22779.0433    	59.49437      
440.0000      	22727.2727    	59.62182      
441.0000      	22675.7370    	59.62526      
442.0000      	22624.4344    	59.48719      
443.0000      	22573.3634    	59.57279      
444.0000      	22522.5225    	59.40545      
445.0000      	22471.9101    	59.30861      
446.0000      	22421.5247    	59.14742      
447.0000      	22371.3647    	58.99500      
448.0000      	22321.4286    	58.65556      
449.0000      	22271.7149    	58.30164      
450.0000      	22222.2222    	57.89207      
451.0000      	22172.9490    	57.46355      
452.0000      	22123.8938    	57.44899      
453.0000      	22075.0552    	57.60187      
454.0000      	22026.4317    	57.54354      
455.0000      	21978.0220    	57.49355      
456.0000      	21929.8246    	57.49403      
457.0000      	21881.8381    	57.49728      
458.0000      	21834.0611    	57.47402      
459.0000      	21786.4924    	57.33024      
460.0000      	21739.1304    	57.43278      
461.0000      	21691.9740    	57.55859      
462.0000      	21645.0216    	57.55277      
463.0000      	21598.2721    	57.41425      
464.0000      	21551.7241    	57.22025      
465.0000      	21505.3763    	57.36332      
466.0000      	21459.2275    	57.33027      
