Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:46:04

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	8.79819       
301.0000      	33222.5914    	8.59093       
302.0000      	33112.5828    	9.17567       
303.0000      	33003.3003    	8.41646       
304.0000      	32894.7368    	7.69383       
305.0000      	32786.8852    	7.96815       
306.0000      	32679.7386    	7.71237       
307.0000      	32573.2899    	7.33775       
308.0000      	32467.5325    	7.12644       
309.0000      	32362.4595    	7.30982       
310.0000      	32258.0645    	7.05657       
311.0000      	32154.3408    	7.48949       
312.0000      	32051.2821    	7.61317       
313.0000      	31948.8818    	6.89200       
314.0000      	31847.1338    	6.70730       
315.0000      	31746.0317    	6.96876       
316.0000      	31645.5696    	7.13048       
317.0000      	31545.7413    	6.62765       
318.0000      	31446.5409    	6.49236       
319.0000      	31347.9624    	6.37812       
320.0000      	31250.0000    	6.54108       
321.0000      	31152.6480    	6.49342       
322.0000      	31055.9006    	6.49187       
323.0000      	30959.7523    	6.44428       
324.0000      	30864.1975    	6.32572       
325.0000      	30769.2308    	5.85439       
326.0000      	30674.8466    	5.79761       
327.0000      	30581.0398    	5.51962       
328.0000      	30487.8049    	5.65140       
329.0000      	30395.1368    	5.76451       
330.0000      	30303.0303    	5.46747       
331.0000      	30211.4804    	5.47342       
332.0000      	30120.4819    	5.50188       
333.0000      	30030.0300    	5.32429       
334.0000      	29940.1198    	5.27962       
335.0000      	29850.7463    	5.37410       
336.0000      	29761.9048    	5.53694       
337.0000      	29673.5905    	5.44412       
338.0000      	29585.7988    	5.35592       
339.0000      	29498.5251    	5.14077       
340.0000      	29411.7647    	5.10341       
341.0000      	29325.5132    	4.99095       
342.0000      	29239.7661    	5.25698       
343.0000      	29154.5190    	5.22239       
344.0000      	29069.7674    	5.30563       
345.0000      	28985.5072    	5.41856       
346.0000      	28901.7341    	5.43704       
347.0000      	28818.4438    	5.50034       
348.0000      	28735.6322    	5.21872       
349.0000      	28653.2951    	5.15407       
350.0000      	28571.4286    	4.99265       
351.0000      	28490.0285    	5.11424       
352.0000      	28409.0909    	5.08651       
353.0000      	28328.6119    	5.13077       
354.0000      	28248.5876    	5.00190       
355.0000      	28169.0141    	4.88028       
356.0000      	28089.8876    	4.99929       
357.0000      	28011.2045    	4.96587       
358.0000      	27932.9609    	4.90145       
359.0000      	27855.1532    	4.98613       
360.0000      	27777.7778    	5.04224       
361.0000      	27700.8310    	5.22023       
362.0000      	27624.3094    	5.29418       
363.0000      	27548.2094    	5.47034       
364.0000      	27472.5275    	5.20857       
365.0000      	27397.2603    	5.20827       
366.0000      	27322.4044    	5.42714       
367.0000      	27247.9564    	5.38351       
368.0000      	27173.9130    	5.43927       
369.0000      	27100.2710    	5.30246       
370.0000      	27027.0270    	5.20368       
371.0000      	26954.1779    	5.18095       
372.0000      	26881.7204    	5.31186       
373.0000      	26809.6515    	5.28842       
374.0000      	26737.9679    	5.33353       
375.0000      	26666.6667    	5.25687       
376.0000      	26595.7447    	5.30283       
377.0000      	26525.1989    	5.50045       
378.0000      	26455.0265    	5.62066       
379.0000      	26385.2243    	5.70887       
380.0000      	26315.7895    	5.84589       
381.0000      	26246.7192    	5.70910       
382.0000      	26178.0105    	5.70182       
383.0000      	26109.6606    	5.75804       
