Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:45:30

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	8.14677       
301.0000      	33222.5914    	6.80947       
302.0000      	33112.5828    	6.53233       
303.0000      	33003.3003    	6.41972       
304.0000      	32894.7368    	7.14510       
305.0000      	32786.8852    	7.84967       
306.0000      	32679.7386    	8.25968       
307.0000      	32573.2899    	7.70890       
308.0000      	32467.5325    	6.99813       
309.0000      	32362.4595    	6.98584       
310.0000      	32258.0645    	6.86098       
311.0000      	32154.3408    	7.42274       
312.0000      	32051.2821    	7.73682       
313.0000      	31948.8818    	6.96892       
314.0000      	31847.1338    	6.19001       
315.0000      	31746.0317    	6.31302       
316.0000      	31645.5696    	6.39042       
317.0000      	31545.7413    	6.10355       
318.0000      	31446.5409    	5.91381       
319.0000      	31347.9624    	5.58356       
320.0000      	31250.0000    	5.89356       
321.0000      	31152.6480    	6.03634       
322.0000      	31055.9006    	6.18051       
323.0000      	30959.7523    	5.88751       
324.0000      	30864.1975    	5.98276       
325.0000      	30769.2308    	5.62518       
326.0000      	30674.8466    	5.51873       
327.0000      	30581.0398    	4.96180       
328.0000      	30487.8049    	5.06793       
329.0000      	30395.1368    	5.24524       
330.0000      	30303.0303    	5.18002       
331.0000      	30211.4804    	5.54021       
332.0000      	30120.4819    	5.75331       
333.0000      	30030.0300    	5.56759       
334.0000      	29940.1198    	5.37398       
335.0000      	29850.7463    	4.88975       
336.0000      	29761.9048    	4.93204       
337.0000      	29673.5905    	4.99558       
338.0000      	29585.7988    	5.21133       
339.0000      	29498.5251    	5.37133       
340.0000      	29411.7647    	5.50299       
341.0000      	29325.5132    	5.27297       
342.0000      	29239.7661    	5.33346       
343.0000      	29154.5190    	5.50223       
344.0000      	29069.7674    	5.57338       
345.0000      	28985.5072    	5.33342       
346.0000      	28901.7341    	4.69702       
347.0000      	28818.4438    	4.73287       
348.0000      	28735.6322    	4.74330       
349.0000      	28653.2951    	5.16087       
350.0000      	28571.4286    	5.23048       
351.0000      	28490.0285    	4.95878       
352.0000      	28409.0909    	4.84974       
353.0000      	28328.6119    	5.23240       
354.0000      	28248.5876    	5.31142       
355.0000      	28169.0141    	5.26673       
356.0000      	28089.8876    	5.20420       
357.0000      	28011.2045    	5.00249       
358.0000      	27932.9609    	4.98494       
359.0000      	27855.1532    	5.15131       
360.0000      	27777.7778    	5.33055       
361.0000      	27700.8310    	5.29927       
362.0000      	27624.3094    	5.18072       
363.0000      	27548.2094    	5.24748       
364.0000      	27472.5275    	5.23793       
365.0000      	27397.2603    	5.42602       
366.0000      	27322.4044    	5.52164       
367.0000      	27247.9564    	5.39075       
368.0000      	27173.9130    	5.45569       
369.0000      	27100.2710    	5.46081       
370.0000      	27027.0270    	5.49487       
371.0000      	26954.1779    	5.45148       
372.0000      	26881.7204    	5.37949       
373.0000      	26809.6515    	5.31855       
374.0000      	26737.9679    	5.35588       
375.0000      	26666.6667    	5.41616       
376.0000      	26595.7447    	5.49647       
377.0000      	26525.1989    	5.72947       
378.0000      	26455.0265    	5.75040       
379.0000      	26385.2243    	5.79873       
380.0000      	26315.7895    	5.94674       
381.0000      	26246.7192    	5.98318       
382.0000      	26178.0105    	6.00960       
383.0000      	26109.6606    	6.13030       
384.0000      	26041.6667    	6.10009       
385.0000      	25974.0260    	6.17290       
386.0000      	25906.7358    	6.23990       
387.0000      	25839.7933    	6.37773       
