Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:45:46

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	7.23634       
301.0000      	33222.5914    	7.16423       
302.0000      	33112.5828    	7.15516       
303.0000      	33003.3003    	6.55133       
304.0000      	32894.7368    	6.33687       
305.0000      	32786.8852    	6.74228       
306.0000      	32679.7386    	6.33575       
307.0000      	32573.2899    	6.79644       
308.0000      	32467.5325    	6.97556       
309.0000      	32362.4595    	6.96040       
310.0000      	32258.0645    	6.04027       
311.0000      	32154.3408    	5.69098       
312.0000      	32051.2821    	5.93496       
313.0000      	31948.8818    	5.68880       
314.0000      	31847.1338    	5.52334       
315.0000      	31746.0317    	6.10318       
316.0000      	31645.5696    	6.50459       
317.0000      	31545.7413    	6.57238       
318.0000      	31446.5409    	6.21621       
319.0000      	31347.9624    	5.39173       
320.0000      	31250.0000    	4.93268       
321.0000      	31152.6480    	4.76120       
322.0000      	31055.9006    	5.39584       
323.0000      	30959.7523    	5.73411       
324.0000      	30864.1975    	5.61042       
325.0000      	30769.2308    	4.69138       
326.0000      	30674.8466    	4.53593       
327.0000      	30581.0398    	4.77803       
328.0000      	30487.8049    	4.94927       
329.0000      	30395.1368    	4.88632       
330.0000      	30303.0303    	4.59315       
331.0000      	30211.4804    	4.69530       
332.0000      	30120.4819    	4.79223       
333.0000      	30030.0300    	4.69156       
334.0000      	29940.1198    	4.73883       
335.0000      	29850.7463    	4.79678       
336.0000      	29761.9048    	4.73887       
337.0000      	29673.5905    	4.56103       
338.0000      	29585.7988    	4.81315       
339.0000      	29498.5251    	5.01695       
340.0000      	29411.7647    	5.04079       
341.0000      	29325.5132    	4.56034       
342.0000      	29239.7661    	4.65105       
343.0000      	29154.5190    	4.65253       
344.0000      	29069.7674    	4.85938       
345.0000      	28985.5072    	4.91696       
346.0000      	28901.7341    	4.35242       
347.0000      	28818.4438    	4.35933       
348.0000      	28735.6322    	4.25145       
349.0000      	28653.2951    	4.62570       
350.0000      	28571.4286    	4.68574       
351.0000      	28490.0285    	4.63641       
352.0000      	28409.0909    	4.39290       
353.0000      	28328.6119    	4.41282       
354.0000      	28248.5876    	4.46091       
355.0000      	28169.0141    	4.52779       
356.0000      	28089.8876    	4.53918       
357.0000      	28011.2045    	4.41580       
358.0000      	27932.9609    	4.12649       
359.0000      	27855.1532    	4.23790       
360.0000      	27777.7778    	4.36091       
361.0000      	27700.8310    	4.68559       
362.0000      	27624.3094    	4.73495       
363.0000      	27548.2094    	4.71399       
364.0000      	27472.5275    	4.48313       
365.0000      	27397.2603    	4.50137       
366.0000      	27322.4044    	4.80109       
367.0000      	27247.9564    	4.69252       
368.0000      	27173.9130    	4.66374       
369.0000      	27100.2710    	4.48110       
370.0000      	27027.0270    	4.46277       
371.0000      	26954.1779    	4.53749       
372.0000      	26881.7204    	4.67731       
373.0000      	26809.6515    	4.69153       
374.0000      	26737.9679    	4.63238       
375.0000      	26666.6667    	4.70820       
376.0000      	26595.7447    	4.75228       
377.0000      	26525.1989    	4.82212       
378.0000      	26455.0265    	4.76819       
379.0000      	26385.2243    	4.83713       
380.0000      	26315.7895    	4.82168       
381.0000      	26246.7192    	4.77516       
382.0000      	26178.0105    	4.86368       
383.0000      	26109.6606    	5.11155       
384.0000      	26041.6667    	5.11224       
385.0000      	25974.0260    	4.99590       
386.0000      	25906.7358    	4.98967       
387.0000      	25839.7933    	5.14188       
388.0000      	25773.1959    	5.40769       
389.0000      	25706.9409    	5.40316       
390.0000      	25641.0256    	5.37607       
391.0000      	25575.4476    	5.48237       
392.0000      	25510.2041    	5.51922       
393.0000      	25445.2926    	5.48213       
394.0000      	25380.7107    	5.52604       
395.0000      	25316.4557    	5.59167       
396.0000      	25252.5253    	5.60256       
397.0000      	25188.9169    	5.65320       
398.0000      	25125.6281    	5.66867       
399.0000      	25062.6566    	5.85032       
400.0000      	25000.0000    	5.97503       
401.0000      	24937.6559    	6.09049       
402.0000      	24875.6219    	6.08146       
403.0000      	24813.8958    	6.01247       
404.0000      	24752.4752    	6.07650       
405.0000      	24691.3580    	6.29710       
406.0000      	24630.5419    	6.34670       
407.0000      	24570.0246    	6.22759       
408.0000      	24509.8039    	6.20017       
409.0000      	24449.8778    	6.30291       
410.0000      	24390.2439    	6.42578       
411.0000      	24330.9002    	6.54137       
412.0000      	24271.8447    	6.59933       
413.0000      	24213.0751    	6.65895       
414.0000      	24154.5894    	6.67206       
415.0000      	24096.3855    	6.68552       
416.0000      	24038.4615    	6.77004       
417.0000      	23980.8153    	6.85122       
418.0000      	23923.4450    	6.89448       
419.0000      	23866.3484    	6.89351       
420.0000      	23809.5238    	6.87662       
421.0000      	23752.9691    	6.89083       
422.0000      	23696.6825    	7.00736       
423.0000      	23640.6619    	7.10455       
424.0000      	23584.9057    	7.10787       
425.0000      	23529.4118    	7.10739       
426.0000      	23474.1784    	7.06985       
427.0000      	23419.2037    	7.15241       
428.0000      	23364.4860    	7.11677       
429.0000      	23310.0233    	7.12716       
430.0000      	23255.8140    	7.14301       
431.0000      	23201.8561    	7.30254       
432.0000      	23148.1481    	7.34478       
433.0000      	23094.6882    	7.34224       
434.0000      	23041.4747    	7.34312       
435.0000      	22988.5057    	7.34750       
436.0000      	22935.7798    	7.31378       
437.0000      	22883.2952    	7.37983       
438.0000      	22831.0502    	7.40557       
439.0000      	22779.0433    	7.54763       
440.0000      	22727.2727    	7.57521       
441.0000      	22675.7370    	7.53975       
442.0000      	22624.4344    	7.51511       
443.0000      	22573.3634    	7.66660       
444.0000      	22522.5225    	7.81538       
445.0000      	22471.9101    	7.82742       
446.0000      	22421.5247    	7.81751       
447.0000      	22371.3647    	7.79078       
448.0000      	22321.4286    	7.81289       
449.0000      	22271.7149    	7.81427       
450.0000      	22222.2222    	7.89660       
451.0000      	22172.9490    	7.93750       
452.0000      	22123.8938    	7.97449       
453.0000      	22075.0552    	7.98855       
454.0000      	22026.4317    	8.06653       
455.0000      	21978.0220    	8.09189       
456.0000      	21929.8246    	8.17798       
457.0000      	21881.8381    	8.18991       
458.0000      	21834.0611    	8.12124       
459.0000      	21786.4924    	8.15036       
460.0000      	21739.1304    	8.22787       
461.0000      	21691.9740    	8.34524       
462.0000      	21645.0216    	8.37893       
463.0000      	21598.2721    	8.41908       
464.0000      	21551.7241    	8.43274       
465.0000      	21505.3763    	8.47222       
466.0000      	21459.2275    	8.52373       
467.0000      	21413.2762    	8.59619       
468.0000      	21367.5214    	8.66555       
469.0000      	21321.9616    	8.74278       
470.0000      	21276.5957    	8.81766       
471.0000      	21231.4225    	8.91100       
472.0000      	21186.4407    	9.02089       
473.0000      	21141.6490    	9.09025       
474.0000      	21097.0464    	9.14822       
475.0000      	21052.6316    	9.17139       
476.0000      	21008.4034    	9.28097       
477.0000      	20964.3606    	9.37112       
478.0000      	20920.5021    	9.41658       
479.0000      	20876.8267    	9.51575       
480.0000      	20833.3333    	9.62944       
481.0000      	20790.0208    	9.72749       
482.0000      	20746.8880    	9.81280       
483.0000      	20703.9337    	9.95556       
484.0000      	20661.1570    	10.02825      
485.0000      	20618.5567    	10.06869      
486.0000      	20576.1317    	10.07520      
487.0000      	20533.8809    	10.13299      
488.0000      	20491.8033    	10.24171      
489.0000      	20449.8978    	10.37507      
490.0000      	20408.1633    	10.48508      
491.0000      	20366.5988    	10.58666      
492.0000      	20325.2033    	10.62469      
493.0000      	20283.9757    	10.69219      
494.0000      	20242.9150    	10.77916      
495.0000      	20202.0202    	10.81865      
496.0000      	20161.2903    	10.85350      
497.0000      	20120.7243    	10.88182      
498.0000      	20080.3213    	10.95880      
499.0000      	20040.0802    	11.01086      
500.0000      	20000.0000    	11.10013      
501.0000      	19960.0798    	11.15038      
502.0000      	19920.3187    	11.11954      
503.0000      	19880.7157    	11.11048      
504.0000      	19841.2698    	11.12249      
505.0000      	19801.9802    	11.12267      
506.0000      	19762.8458    	11.11923      
507.0000      	19723.8659    	11.03611      
508.0000      	19685.0394    	10.97984      
509.0000      	19646.3654    	10.87719      
510.0000      	19607.8431    	10.79487      
511.0000      	19569.4716    	10.73798      
512.0000      	19531.2500    	10.59926      
513.0000      	19493.1774    	10.54355      
514.0000      	19455.2529    	10.37766      
515.0000      	19417.4757    	10.21444      
516.0000      	19379.8450    	10.06123      
517.0000      	19342.3598    	9.87869       
518.0000      	19305.0193    	9.68804       
519.0000      	19267.8227    	9.61131       
520.0000      	19230.7692    	9.43499       
521.0000      	19193.8580    	9.23996       
522.0000      	19157.0881    	9.06983       
523.0000      	19120.4589    	8.91950       
524.0000      	19083.9695    	8.74799       
525.0000      	19047.6190    	8.52812       
526.0000      	19011.4068    	8.44796       
527.0000      	18975.3321    	8.30920       
528.0000      	18939.3939    	8.22260       
529.0000      	18903.5917    	8.10027       
530.0000      	18867.9245    	7.97426       
531.0000      	18832.3917    	7.86973       
532.0000      	18796.9925    	7.78217       
533.0000      	18761.7261    	7.73091       
534.0000      	18726.5918    	7.64015       
535.0000      	18691.5888    	7.56658       
536.0000      	18656.7164    	7.48777       
537.0000      	18621.9739    	7.40552       
538.0000      	18587.3606    	7.38899       
539.0000      	18552.8757    	7.38621       
540.0000      	18518.5185    	7.38240       
541.0000      	18484.2884    	7.40312       
542.0000      	18450.1845    	7.38857       
543.0000      	18416.2063    	7.38784       
544.0000      	18382.3529    	7.36866       
545.0000      	18348.6239    	7.37365       
546.0000      	18315.0183    	7.34128       
547.0000      	18281.5356    	7.32009       
548.0000      	18248.1752    	7.25802       
549.0000      	18214.9362    	7.20182       
550.0000      	18181.8182    	7.15946       
551.0000      	18148.8203    	7.12215       
552.0000      	18115.9420    	7.05154       
553.0000      	18083.1826    	6.97894       
554.0000      	18050.5415    	6.90287       
555.0000      	18018.0180    	6.83791       
556.0000      	17985.6115    	6.77022       
557.0000      	17953.3214    	6.66720       
558.0000      	17921.1470    	6.60773       
559.0000      	17889.0877    	6.53884       
560.0000      	17857.1429    	6.42244       
561.0000      	17825.3119    	6.33948       
562.0000      	17793.5943    	6.27040       
563.0000      	17761.9893    	6.19164       
564.0000      	17730.4965    	6.13580       
565.0000      	17699.1150    	6.07577       
566.0000      	17667.8445    	6.00195       
567.0000      	17636.6843    	5.93669       
568.0000      	17605.6338    	5.89541       
