contrast	target	abs_heading	heading	batch	T	H	success
0.1	60	5	140	2019	0.86	2.443460952792061	0
0.1	60	5	140	2019	0.86	2.443460952792061	0
0.1	60	155	155	2019	0.86	2.705260340591211	0
0.1	60	210	165	2019	0.86	2.8797932657906435	0
0.1	60	315	180	2019	0.86	3.141592653589793	0
0.1	60	180	180	2019	0.86	3.141592653589793	0
0.1	60	225	180	2019	0.86	3.141592653589793	0
0.1	60	240	195	2019	0.86	-2.879793265790644	0
0.1	60	160	205	2019	0.86	-2.705260340591211	0
0.1	60	265	220	2019	0.86	-2.443460952792061	0
0.1	60	180	225	2019	0.86	-2.356194490192345	0
0.1	60	320	230	2019	0.86	-2.2689280275926285	0
0.1	60	15	240	2019	0.86	-2.0943951023931957	0
0.1	60	120	255	2019	0.86	-1.8325957145940457	0
0.1	60	315	270	2019	0.86	-1.5707963267948966	0
0.1	60	235	280	2019	0.86	-1.3962634015954638	0
0.1	60	250	295	2019	0.86	-1.1344640137963138	0
0.1	60	265	310	2019	0.86	-0.8726646259971647	0
0.1	60	355	310	2019	0.86	-0.8726646259971647	0
0.1	60	350	350	2019	0.86	-0.17453292519943364	0
0.1	60	355	355	2019	0.86	-0.08726646259971638	0
0	0	160	160	2019	0	2.792526803190927	0
0	0	290	200	2019	0	-2.792526803190927	0
0	0	40	355	2019	0	-0.08726646259971638	0
0	0	320	140	2019	0	2.443460952792061	0
0	0	225	90	2019	0	1.5707963267948966	0
0	0	315	45	2019	0	0.7853981633974483	0
0	0	180	315	2019	0	-0.7853981633974483	0
0	0	110	110	2019	0	1.9198621771937625	0
0	0	185	50	2019	0	0.8726646259971648	0
0	0	170	80	2019	0	1.3962634015954636	0
0	0	30	75	2019	0	1.3089969389957472	0
0	0	290	245	2019	0	-2.0071286397934793	0
0	0	260	305	2019	0	-0.959931088596881	0
0	0	135	270	2019	0	-1.5707963267948966	0
0	0	20	20	2019	0	0.3490658503988659	0
0	0	145	100	2019	0	1.7453292519943295	0
0	0	340	70	2019	0	1.2217304763960306	0
0	0	60	240	2019	0	-2.0943951023931957	0
0	0	165	345	2019	0	-0.26179938779914913	0
0	0	150	195	2019	0	-2.879793265790644	0
0	0	285	195	2019	0	-2.879793265790644	0
0	0	40	355	2019	0	-0.08726646259971638	0
0	0	290	65	2019	0	1.1344640137963142	0
0	0	240	105	2019	0	1.8325957145940461	0
0	0	340	25	2019	0	0.4363323129985824	0
0	0	170	170	2019	0	2.9670597283903604	0
0	0	35	215	2019	0	-2.530727415391778	0
0	0	280	190	2019	0	-2.96705972839036	0
0	0	175	40	2019	0	0.6981317007977318	0
0	0	235	325	2019	0	-0.6108652381980155	0
0	0	320	5	2019	0	0.08726646259971647	0
0	0	200	155	2019	0	2.705260340591211	0
0	0	270	45	2019	0	0.7853981633974483	0
0	0	275	95	2019	0	1.6580627893946132	0
0	0	340	250	2019	0	-1.919862177193763	0
0	0	210	210	2019	0	-2.617993877991494	0
0	0	250	250	2019	0	-1.919862177193763	0
