contrast	target	abs_heading	heading	batch	T	H	success
1	20	10	10	2019	0.29	0.17453292519943295	0
1	20	335	20	2019	0.29	0.3490658503988659	0
1	20	70	25	2019	0.29	0.4363323129985824	0
1	20	180	45	2019	0.29	0.7853981633974483	0
1	20	150	60	2019	0.29	1.0471975511965976	0
1	20	200	65	2019	0.29	1.1344640137963142	0
1	20	250	70	2019	0.29	1.2217304763960306	0
1	20	260	80	2019	0.29	1.3962634015954636	0
1	20	80	80	2019	0.29	1.3962634015954636	0
1	20	300	120	2019	0.29	2.0943951023931953	0
1	20	220	130	2019	0.29	2.2689280275926285	0
1	20	180	135	2019	0.29	2.356194490192345	0
1	20	230	140	2019	0.29	2.443460952792061	0
1	20	175	175	2019	0.29	3.0543261909900763	0
1	20	5	185	2019	0.29	-3.0543261909900767	0
1	20	230	185	2019	0.29	-3.0543261909900767	0
1	20	100	190	2019	0.29	-2.96705972839036	0
1	20	100	190	2019	0.29	-2.96705972839036	0
1	20	240	195	2019	0.29	-2.879793265790644	0
1	20	290	200	2019	0.29	-2.792526803190927	0
1	20	200	200	2019	0.29	-2.792526803190927	0
1	20	215	215	2019	0.29	-2.530727415391778	0
1	20	260	215	2019	0.29	-2.530727415391778	0
1	20	80	215	2019	0.29	-2.530727415391778	0
1	20	185	230	2019	0.29	-2.2689280275926285	0
1	20	140	230	2019	0.29	-2.2689280275926285	0
1	20	145	235	2019	0.29	-2.181661564992912	0
1	20	120	255	2019	0.29	-1.8325957145940457	0
1	20	225	270	2019	0.29	-1.5707963267948966	0
1	20	180	270	2019	0.29	-1.5707963267948966	0
1	20	240	285	2019	0.29	-1.3089969389957465	0
1	20	330	285	2019	0.29	-1.3089969389957465	0
1	20	120	300	2019	0.29	-1.0471975511965974	0
1	20	300	300	2019	0.29	-1.0471975511965974	0
1	20	170	305	2019	0.29	-0.959931088596881	0
1	20	185	320	2019	0.29	-0.6981317007977319	0
1	20	240	330	2019	0.29	-0.5235987755982991	0
1	20	300	345	2019	0.29	-0.26179938779914913	0
1	20	215	350	2019	0.29	-0.17453292519943364	0
1	20	85	355	2019	0.29	-0.08726646259971638	0
1	30	50	5	2019	0.43	0.08726646259971647	0
1	30	5	5	2019	0.43	0.08726646259971647	0
1	30	100	10	2019	0.43	0.17453292519943295	0
1	30	235	10	2019	0.43	0.17453292519943295	0
1	30	115	25	2019	0.43	0.4363323129985824	0
1	30	175	40	2019	0.43	0.6981317007977318	0
1	30	230	50	2019	0.43	0.8726646259971648	0
1	30	95	50	2019	0.43	0.8726646259971648	0
1	30	185	50	2019	0.43	0.8726646259971648	0
1	30	150	60	2019	0.43	1.0471975511965976	0
1	30	300	75	2019	0.43	1.3089969389957472	0
1	30	35	80	2019	0.43	1.3962634015954636	0
1	30	240	105	2019	0.43	1.8325957145940461	0
1	30	110	110	2019	0.43	1.9198621771937625	0
1	30	110	110	2019	0.43	1.9198621771937625	0
1	30	20	110	2019	0.43	1.9198621771937625	0
1	30	225	135	2019	0.43	2.356194490192345	0
1	30	90	135	2019	0.43	2.356194490192345	0
1	30	0	135	2019	0.43	2.356194490192345	0
1	30	270	135	2019	0.43	2.356194490192345	0
1	30	240	150	2019	0.43	2.6179938779914944	0
1	30	250	160	2019	0.43	2.792526803190927	0
1	30	210	165	2019	0.43	2.8797932657906435	0
1	30	125	170	2019	0.43	2.9670597283903604	0
1	30	315	180	2019	0.43	3.141592653589793	0
1	30	140	185	2019	0.43	-3.0543261909900767	0
1	30	280	190	2019	0.43	-2.96705972839036	0
1	30	240	195	2019	0.43	-2.879793265790644	0
1	30	250	205	2019	0.43	-2.705260340591211	0
1	30	260	215	2019	0.43	-2.530727415391778	0
1	30	215	215	2019	0.43	-2.530727415391778	0
1	30	135	225	2019	0.43	-2.356194490192345	0
1	30	335	245	2019	0.43	-2.0071286397934793	0
1	30	160	250	2019	0.43	-1.919862177193763	0
1	30	165	255	2019	0.43	-1.8325957145940457	0
1	30	135	270	2019	0.43	-1.5707963267948966	0
1	30	270	270	2019	0.43	-1.5707963267948966	0
1	30	180	270	2019	0.43	-1.5707963267948966	0
1	30	65	290	2019	0.43	-1.221730476396031	0
1	30	300	300	2019	0.43	-1.0471975511965974	0
1	30	205	340	2019	0.43	-0.3490658503988655	0
1	30	350	350	2019	0.43	-0.17453292519943364	0
1	30	310	355	2019	0.43	-0.08726646259971638	0
1	40	185	5	2019	0.57	0.08726646259971647	0
1	40	160	25	2019	0.57	0.4363323129985824	0
1	40	120	30	2019	0.57	0.5235987755982988	0
1	40	5	50	2019	0.57	0.8726646259971648	0
1	40	190	55	2019	0.57	0.9599310885968813	0
1	40	55	55	2019	0.57	0.9599310885968813	0
1	40	240	60	2019	0.57	1.0471975511965976	0
1	40	215	80	2019	0.57	1.3962634015954636	0
1	40	315	90	2019	0.57	1.5707963267948966	0
1	40	210	120	2019	0.57	2.0943951023931953	0
1	40	120	120	2019	0.57	2.0943951023931953	0
1	40	150	150	2019	0.57	2.6179938779914944	0
1	40	255	165	2019	0.57	2.8797932657906435	0
1	40	165	165	2019	0.57	2.8797932657906435	0
1	40	35	170	2019	0.57	2.9670597283903604	0
1	40	225	180	2019	0.57	3.141592653589793	0
1	40	275	185	2019	0.57	-3.0543261909900767	0
1	40	120	210	2019	0.57	-2.617993877991494	0
1	40	165	210	2019	0.57	-2.617993877991494	0
1	40	260	215	2019	0.57	-2.530727415391778	0
1	40	180	225	2019	0.57	-2.356194490192345	0
1	40	280	235	2019	0.57	-2.181661564992912	0
1	40	55	235	2019	0.57	-2.181661564992912	0
1	40	240	240	2019	0.57	-2.0943951023931957	0
1	40	60	240	2019	0.57	-2.0943951023931957	0
1	40	45	270	2019	0.57	-1.5707963267948966	0
1	40	280	280	2019	0.57	-1.3962634015954638	0
1	40	195	285	2019	0.57	-1.3089969389957465	0
1	40	65	290	2019	0.57	-1.221730476396031	0
1	40	225	315	2019	0.57	-0.7853981633974483	0
1	40	185	320	2019	0.57	-0.6981317007977319	0
1	40	55	325	2019	0.57	-0.6108652381980155	0
1	40	240	330	2019	0.57	-0.5235987755982991	0
1	40	285	330	2019	0.57	-0.5235987755982991	0
1	40	20	335	2019	0.57	-0.43633231299858277	0
1	40	200	335	2019	0.57	-0.43633231299858277	0
1	40	110	335	2019	0.57	-0.43633231299858277	0
1	40	215	350	2019	0.57	-0.17453292519943364	0
1	40	175	355	2019	0.57	-0.08726646259971638	0
1	40	40	355	2019	0.57	-0.08726646259971638	0
1	40	85	355	2019	0.57	-0.08726646259971638	0
1	50	180	0	2019	0.71	0	1
1	50	270	0	2019	0.71	0	1
1	50	45	0	2019	0.71	0	1
1	50	180	0	2019	0.71	0	1
1	50	90	0	2019	0.71	0	1
1	50	275	5	2019	0.71	0.08726646259971647	0
1	50	140	5	2019	0.71	0.08726646259971647	0
1	50	5	5	2019	0.71	0.08726646259971647	0
1	50	100	10	2019	0.71	0.17453292519943295	0
1	50	15	15	2019	0.71	0.2617993877991494	0
1	50	300	30	2019	0.71	0.5235987755982988	0
1	50	310	40	2019	0.71	0.6981317007977318	0
1	50	355	40	2019	0.71	0.6981317007977318	0
1	50	325	40	2019	0.71	0.6981317007977318	0
1	50	185	50	2019	0.71	0.8726646259971648	0
1	50	290	65	2019	0.71	1.1344640137963142	0
1	50	170	80	2019	0.71	1.3962634015954636	0
1	50	180	90	2019	0.71	1.5707963267948966	0
1	50	240	105	2019	0.71	1.8325957145940461	0
1	50	240	105	2019	0.71	1.8325957145940461	0
1	50	30	120	2019	0.71	2.0943951023931953	0
1	50	20	155	2019	0.71	2.705260340591211	0
1	50	160	160	2019	0.71	2.792526803190927	0
1	50	340	160	2019	0.71	2.792526803190927	0
1	50	210	165	2019	0.71	2.8797932657906435	0
1	50	35	170	2019	0.71	2.9670597283903604	0
1	50	180	180	2019	0.71	3.141592653589793	0
1	50	150	195	2019	0.71	-2.879793265790644	0
1	50	120	210	2019	0.71	-2.617993877991494	0
1	50	120	210	2019	0.71	-2.617993877991494	0
1	50	180	225	2019	0.71	-2.356194490192345	0
1	50	320	230	2019	0.71	-2.2689280275926285	0
1	50	100	235	2019	0.71	-2.181661564992912	0
1	50	330	240	2019	0.71	-2.0943951023931957	0
1	50	200	245	2019	0.71	-2.0071286397934793	0
1	50	110	245	2019	0.71	-2.0071286397934793	0
1	50	290	245	2019	0.71	-2.0071286397934793	0
1	50	340	250	2019	0.71	-1.919862177193763	0
1	50	250	250	2019	0.71	-1.919862177193763	0
1	50	320	275	2019	0.71	-1.4835298641951802	0
1	50	230	275	2019	0.71	-1.4835298641951802	0
1	50	70	295	2019	0.71	-1.1344640137963138	0
1	50	315	315	2019	0.71	-0.7853981633974483	0
