Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   15:03:17

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	14.24558      
301.0000      	33222.5914    	12.96889      
302.0000      	33112.5828    	13.21229      
303.0000      	33003.3003    	13.95957      
304.0000      	32894.7368    	12.83757      
305.0000      	32786.8852    	12.13296      
306.0000      	32679.7386    	11.88206      
307.0000      	32573.2899    	11.58996      
308.0000      	32467.5325    	12.09694      
309.0000      	32362.4595    	11.54051      
310.0000      	32258.0645    	10.36226      
311.0000      	32154.3408    	9.91890       
312.0000      	32051.2821    	9.80529       
313.0000      	31948.8818    	9.67484       
314.0000      	31847.1338    	9.51401       
315.0000      	31746.0317    	9.22517       
316.0000      	31645.5696    	9.35822       
317.0000      	31545.7413    	9.32656       
318.0000      	31446.5409    	9.40977       
319.0000      	31347.9624    	8.55905       
320.0000      	31250.0000    	8.26956       
321.0000      	31152.6480    	7.97054       
322.0000      	31055.9006    	8.11117       
323.0000      	30959.7523    	8.48097       
324.0000      	30864.1975    	8.39212       
325.0000      	30769.2308    	8.09806       
326.0000      	30674.8466    	7.53700       
327.0000      	30581.0398    	7.39450       
328.0000      	30487.8049    	7.28327       
329.0000      	30395.1368    	7.66910       
330.0000      	30303.0303    	7.71644       
331.0000      	30211.4804    	7.73041       
332.0000      	30120.4819    	7.65305       
333.0000      	30030.0300    	7.56376       
334.0000      	29940.1198    	7.48604       
335.0000      	29850.7463    	7.29627       
336.0000      	29761.9048    	6.91380       
337.0000      	29673.5905    	6.48407       
338.0000      	29585.7988    	6.98736       
339.0000      	29498.5251    	7.27744       
340.0000      	29411.7647    	7.52995       
341.0000      	29325.5132    	7.40168       
342.0000      	29239.7661    	7.52516       
343.0000      	29154.5190    	7.36152       
344.0000      	29069.7674    	7.01062       
345.0000      	28985.5072    	7.05372       
346.0000      	28901.7341    	7.30071       
347.0000      	28818.4438    	7.46319       
348.0000      	28735.6322    	7.48932       
349.0000      	28653.2951    	7.49240       
350.0000      	28571.4286    	7.46346       
351.0000      	28490.0285    	7.70605       
352.0000      	28409.0909    	7.78002       
353.0000      	28328.6119    	7.79497       
354.0000      	28248.5876    	7.74104       
355.0000      	28169.0141    	7.70711       
356.0000      	28089.8876    	8.15198       
357.0000      	28011.2045    	8.31166       
358.0000      	27932.9609    	8.48371       
359.0000      	27855.1532    	8.57121       
360.0000      	27777.7778    	8.55394       
361.0000      	27700.8310    	8.66015       
362.0000      	27624.3094    	8.95154       
363.0000      	27548.2094    	9.21505       
364.0000      	27472.5275    	9.10767       
365.0000      	27397.2603    	8.84521       
366.0000      	27322.4044    	8.85637       
367.0000      	27247.9564    	9.25954       
368.0000      	27173.9130    	9.66371       
369.0000      	27100.2710    	9.79274       
370.0000      	27027.0270    	9.60329       
371.0000      	26954.1779    	9.48749       
372.0000      	26881.7204    	9.72279       
373.0000      	26809.6515    	10.02708      
374.0000      	26737.9679    	10.36441      
375.0000      	26666.6667    	10.53041      
376.0000      	26595.7447    	10.95832      
377.0000      	26525.1989    	11.13859      
378.0000      	26455.0265    	11.17506      
379.0000      	26385.2243    	11.23162      
380.0000      	26315.7895    	11.57483      
381.0000      	26246.7192    	11.88379      
382.0000      	26178.0105    	12.08600      
383.0000      	26109.6606    	12.50715      
384.0000      	26041.6667    	12.87798      
385.0000      	25974.0260    	13.14086      
386.0000      	25906.7358    	13.19802      
387.0000      	25839.7933    	13.27946      
388.0000      	25773.1959    	13.48236      
389.0000      	25706.9409    	13.92679      
390.0000      	25641.0256    	14.42255      
391.0000      	25575.4476    	14.66932      
392.0000      	25510.2041    	14.84363      
393.0000      	25445.2926    	15.15558      
394.0000      	25380.7107    	15.46866      
395.0000      	25316.4557    	15.79779      
396.0000      	25252.5253    	16.26767      
397.0000      	25188.9169    	16.70658      
398.0000      	25125.6281    	17.00422      
399.0000      	25062.6566    	17.40053      
400.0000      	25000.0000    	17.85291      
401.0000      	24937.6559    	18.29344      
402.0000      	24875.6219    	18.54542      
403.0000      	24813.8958    	18.92408      
404.0000      	24752.4752    	19.32900      
405.0000      	24691.3580    	19.98745      
406.0000      	24630.5419    	20.46493      
407.0000      	24570.0246    	21.05710      
408.0000      	24509.8039    	21.62040      
409.0000      	24449.8778    	22.12904      
410.0000      	24390.2439    	22.59850      
411.0000      	24330.9002    	23.08314      
412.0000      	24271.8447    	23.38339      
413.0000      	24213.0751    	24.00430      
414.0000      	24154.5894    	24.55926      
415.0000      	24096.3855    	24.91568      
416.0000      	24038.4615    	25.30214      
417.0000      	23980.8153    	25.63066      
418.0000      	23923.4450    	25.76111      
419.0000      	23866.3484    	25.94503      
420.0000      	23809.5238    	26.13840      
421.0000      	23752.9691    	26.22952      
422.0000      	23696.6825    	26.42281      
423.0000      	23640.6619    	26.74281      
424.0000      	23584.9057    	27.10946      
425.0000      	23529.4118    	27.24163      
426.0000      	23474.1784    	27.38504      
427.0000      	23419.2037    	27.63700      
428.0000      	23364.4860    	27.87084      
429.0000      	23310.0233    	28.13173      
430.0000      	23255.8140    	28.21748      
431.0000      	23201.8561    	28.36272      
432.0000      	23148.1481    	28.42353      
