Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   15:03:33

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	12.31772      
301.0000      	33222.5914    	11.61448      
302.0000      	33112.5828    	12.31431      
303.0000      	33003.3003    	12.42102      
304.0000      	32894.7368    	10.92423      
305.0000      	32786.8852    	10.16961      
306.0000      	32679.7386    	9.77554       
307.0000      	32573.2899    	10.06854      
308.0000      	32467.5325    	10.56371      
309.0000      	32362.4595    	10.39621      
310.0000      	32258.0645    	9.41674       
311.0000      	32154.3408    	9.88510       
312.0000      	32051.2821    	10.39548      
313.0000      	31948.8818    	10.15734      
314.0000      	31847.1338    	9.46438       
315.0000      	31746.0317    	8.55695       
316.0000      	31645.5696    	8.03661       
317.0000      	31545.7413    	7.87107       
318.0000      	31446.5409    	8.10050       
319.0000      	31347.9624    	7.66632       
320.0000      	31250.0000    	7.68647       
321.0000      	31152.6480    	6.91643       
322.0000      	31055.9006    	6.87636       
323.0000      	30959.7523    	6.93961       
324.0000      	30864.1975    	7.22204       
325.0000      	30769.2308    	7.13674       
326.0000      	30674.8466    	6.48289       
327.0000      	30581.0398    	6.46849       
328.0000      	30487.8049    	6.43451       
329.0000      	30395.1368    	7.02167       
330.0000      	30303.0303    	7.04418       
331.0000      	30211.4804    	6.66841       
332.0000      	30120.4819    	6.32948       
333.0000      	30030.0300    	6.27859       
334.0000      	29940.1198    	6.56388       
335.0000      	29850.7463    	6.56787       
336.0000      	29761.9048    	6.78923       
337.0000      	29673.5905    	6.62099       
338.0000      	29585.7988    	6.59454       
339.0000      	29498.5251    	6.48821       
340.0000      	29411.7647    	6.67708       
341.0000      	29325.5132    	6.81198       
342.0000      	29239.7661    	6.66616       
343.0000      	29154.5190    	6.49966       
344.0000      	29069.7674    	6.41094       
345.0000      	28985.5072    	6.51667       
346.0000      	28901.7341    	6.51275       
347.0000      	28818.4438    	6.61259       
348.0000      	28735.6322    	6.74593       
349.0000      	28653.2951    	6.74695       
350.0000      	28571.4286    	6.64971       
351.0000      	28490.0285    	6.86958       
352.0000      	28409.0909    	6.84586       
353.0000      	28328.6119    	6.85584       
354.0000      	28248.5876    	7.11033       
355.0000      	28169.0141    	7.05846       
356.0000      	28089.8876    	7.40338       
357.0000      	28011.2045    	7.38478       
358.0000      	27932.9609    	7.39450       
359.0000      	27855.1532    	7.44229       
360.0000      	27777.7778    	7.53747       
361.0000      	27700.8310    	7.72830       
362.0000      	27624.3094    	8.01576       
363.0000      	27548.2094    	8.16318       
364.0000      	27472.5275    	8.01481       
365.0000      	27397.2603    	8.01445       
366.0000      	27322.4044    	8.20146       
367.0000      	27247.9564    	8.31845       
368.0000      	27173.9130    	8.43454       
369.0000      	27100.2710    	8.55762       
