Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:43:28

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	16.26999      
301.0000      	33222.5914    	14.92867      
302.0000      	33112.5828    	14.05752      
303.0000      	33003.3003    	13.88369      
304.0000      	32894.7368    	13.69519      
305.0000      	32786.8852    	13.77365      
306.0000      	32679.7386    	13.22185      
307.0000      	32573.2899    	12.88875      
308.0000      	32467.5325    	12.59465      
309.0000      	32362.4595    	12.31692      
310.0000      	32258.0645    	11.52956      
311.0000      	32154.3408    	11.00865      
312.0000      	32051.2821    	10.69229      
313.0000      	31948.8818    	11.19849      
314.0000      	31847.1338    	11.15541      
315.0000      	31746.0317    	10.79309      
316.0000      	31645.5696    	10.35474      
317.0000      	31545.7413    	10.34071      
318.0000      	31446.5409    	10.09393      
319.0000      	31347.9624    	9.62595       
320.0000      	31250.0000    	9.64770       
321.0000      	31152.6480    	9.89292       
322.0000      	31055.9006    	9.56543       
323.0000      	30959.7523    	9.19325       
324.0000      	30864.1975    	9.25517       
325.0000      	30769.2308    	8.98223       
326.0000      	30674.8466    	8.89737       
327.0000      	30581.0398    	8.70739       
328.0000      	30487.8049    	8.51255       
329.0000      	30395.1368    	8.39975       
330.0000      	30303.0303    	8.48299       
331.0000      	30211.4804    	8.92697       
332.0000      	30120.4819    	8.81445       
333.0000      	30030.0300    	8.55105       
334.0000      	29940.1198    	8.16139       
335.0000      	29850.7463    	8.40044       
336.0000      	29761.9048    	8.83939       
337.0000      	29673.5905    	8.79000       
338.0000      	29585.7988    	8.65196       
339.0000      	29498.5251    	8.75564       
340.0000      	29411.7647    	9.14474       
341.0000      	29325.5132    	8.84119       
342.0000      	29239.7661    	9.31443       
343.0000      	29154.5190    	9.33658       
344.0000      	29069.7674    	9.03990       
345.0000      	28985.5072    	8.89135       
346.0000      	28901.7341    	8.91763       
