Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   16:43:45

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	15.49887      
301.0000      	33222.5914    	14.50103      
302.0000      	33112.5828    	14.48434      
303.0000      	33003.3003    	13.50097      
304.0000      	32894.7368    	12.77292      
305.0000      	32786.8852    	12.75947      
306.0000      	32679.7386    	13.14150      
307.0000      	32573.2899    	12.20221      
308.0000      	32467.5325    	11.55826      
309.0000      	32362.4595    	11.67430      
310.0000      	32258.0645    	11.88239      
311.0000      	32154.3408    	11.81211      
312.0000      	32051.2821    	11.05122      
313.0000      	31948.8818    	10.83225      
314.0000      	31847.1338    	10.56343      
315.0000      	31746.0317    	10.73853      
316.0000      	31645.5696    	10.74720      
317.0000      	31545.7413    	10.51146      
318.0000      	31446.5409    	10.39049      
319.0000      	31347.9624    	9.89863       
320.0000      	31250.0000    	9.70460       
321.0000      	31152.6480    	9.45748       
322.0000      	31055.9006    	9.65642       
323.0000      	30959.7523    	9.79628       
324.0000      	30864.1975    	9.83471       
325.0000      	30769.2308    	9.26160       
326.0000      	30674.8466    	9.17402       
327.0000      	30581.0398    	8.80651       
328.0000      	30487.8049    	8.95910       
329.0000      	30395.1368    	8.93471       
330.0000      	30303.0303    	8.84429       
331.0000      	30211.4804    	9.11826       
332.0000      	30120.4819    	9.07279       
333.0000      	30030.0300    	8.67116       
334.0000      	29940.1198    	8.22974       
335.0000      	29850.7463    	8.49992       
336.0000      	29761.9048    	8.71079       
337.0000      	29673.5905    	8.68416       
338.0000      	29585.7988    	8.75657       
339.0000      	29498.5251    	8.74496       
340.0000      	29411.7647    	8.70686       
341.0000      	29325.5132    	8.41209       
342.0000      	29239.7661    	8.78548       
343.0000      	29154.5190    	9.07905       
344.0000      	29069.7674    	9.40639       
345.0000      	28985.5072    	9.61320       
346.0000      	28901.7341    	9.18935       
347.0000      	28818.4438    	9.11125       
348.0000      	28735.6322    	8.92035       
349.0000      	28653.2951    	9.26160       
350.0000      	28571.4286    	9.59214       
351.0000      	28490.0285    	10.08775      
352.0000      	28409.0909    	10.27808      
353.0000      	28328.6119    	10.49483      
354.0000      	28248.5876    	10.51792      
355.0000      	28169.0141    	10.64457      
356.0000      	28089.8876    	10.95820      
357.0000      	28011.2045    	11.32642      
358.0000      	27932.9609    	11.69084      
359.0000      	27855.1532    	12.00493      
360.0000      	27777.7778    	12.55450      
361.0000      	27700.8310    	12.89229      
362.0000      	27624.3094    	12.88804      
363.0000      	27548.2094    	13.30557      
364.0000      	27472.5275    	13.61462      
365.0000      	27397.2603    	14.07260      
366.0000      	27322.4044    	14.49619      
367.0000      	27247.9564    	14.66273      
368.0000      	27173.9130    	14.95410      
369.0000      	27100.2710    	15.29101      
370.0000      	27027.0270    	15.64768      
371.0000      	26954.1779    	15.81592      
372.0000      	26881.7204    	16.28041      
373.0000      	26809.6515    	16.69196      
374.0000      	26737.9679    	16.87139      
375.0000      	26666.6667    	17.21560      
376.0000      	26595.7447    	17.75796      
377.0000      	26525.1989    	18.69082      
378.0000      	26455.0265    	19.30099      
379.0000      	26385.2243    	19.76897      
380.0000      	26315.7895    	20.19311      
381.0000      	26246.7192    	20.67603      
382.0000      	26178.0105    	21.00976      
383.0000      	26109.6606    	21.74035      
384.0000      	26041.6667    	22.54623      
385.0000      	25974.0260    	23.01464      
386.0000      	25906.7358    	23.36502      
387.0000      	25839.7933    	23.83236      
388.0000      	25773.1959    	24.56852      
389.0000      	25706.9409    	25.14787      
390.0000      	25641.0256    	25.83192      
391.0000      	25575.4476    	26.36286      
392.0000      	25510.2041    	26.57558      
393.0000      	25445.2926    	26.95571      
394.0000      	25380.7107    	27.62897      
395.0000      	25316.4557    	28.46668      
396.0000      	25252.5253    	29.18835      
397.0000      	25188.9169    	29.90177      
398.0000      	25125.6281    	30.68798      
