Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   15:02:26

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	12.85169      
301.0000      	33222.5914    	12.31820      
302.0000      	33112.5828    	12.21607      
303.0000      	33003.3003    	12.25304      
304.0000      	32894.7368    	11.13743      
305.0000      	32786.8852    	10.91547      
306.0000      	32679.7386    	11.28305      
307.0000      	32573.2899    	11.45864      
308.0000      	32467.5325    	12.14451      
309.0000      	32362.4595    	11.61591      
310.0000      	32258.0645    	10.21844      
311.0000      	32154.3408    	10.65423      
312.0000      	32051.2821    	10.47538      
313.0000      	31948.8818    	9.64742       
314.0000      	31847.1338    	8.84585       
315.0000      	31746.0317    	9.02505       
316.0000      	31645.5696    	9.45391       
317.0000      	31545.7413    	9.55627       
318.0000      	31446.5409    	9.67667       
319.0000      	31347.9624    	8.93339       
320.0000      	31250.0000    	8.48329       
321.0000      	31152.6480    	8.14179       
322.0000      	31055.9006    	8.52490       
323.0000      	30959.7523    	8.45197       
324.0000      	30864.1975    	8.19739       
325.0000      	30769.2308    	7.62904       
326.0000      	30674.8466    	7.40960       
327.0000      	30581.0398    	7.64494       
328.0000      	30487.8049    	7.71151       
329.0000      	30395.1368    	8.08056       
330.0000      	30303.0303    	7.69036       
331.0000      	30211.4804    	7.44103       
332.0000      	30120.4819    	7.46634       
333.0000      	30030.0300    	7.47649       
334.0000      	29940.1198    	7.48272       
335.0000      	29850.7463    	7.57434       
336.0000      	29761.9048    	7.51087       
337.0000      	29673.5905    	7.17969       
338.0000      	29585.7988    	7.19486       
339.0000      	29498.5251    	7.42968       
340.0000      	29411.7647    	7.63784       
341.0000      	29325.5132    	7.48925       
342.0000      	29239.7661    	7.43471       
343.0000      	29154.5190    	7.25240       
344.0000      	29069.7674    	7.08920       
345.0000      	28985.5072    	7.51671       
346.0000      	28901.7341    	7.60517       
