Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   15:02:57

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	14.84817      
301.0000      	33222.5914    	12.98317      
302.0000      	33112.5828    	10.76200      
303.0000      	33003.3003    	10.47588      
304.0000      	32894.7368    	11.77885      
305.0000      	32786.8852    	12.68843      
306.0000      	32679.7386    	12.42949      
307.0000      	32573.2899    	11.17998      
308.0000      	32467.5325    	10.67882      
309.0000      	32362.4595    	10.77469      
310.0000      	32258.0645    	11.31205      
311.0000      	32154.3408    	12.04244      
312.0000      	32051.2821    	10.56043      
313.0000      	31948.8818    	9.28461       
314.0000      	31847.1338    	9.23561       
315.0000      	31746.0317    	9.99520       
316.0000      	31645.5696    	10.31960      
317.0000      	31545.7413    	9.81066       
318.0000      	31446.5409    	9.62519       
319.0000      	31347.9624    	8.72745       
320.0000      	31250.0000    	9.13828       
321.0000      	31152.6480    	9.38142       
322.0000      	31055.9006    	9.10577       
323.0000      	30959.7523    	8.08289       
324.0000      	30864.1975    	7.38175       
325.0000      	30769.2308    	7.25649       
326.0000      	30674.8466    	7.68794       
327.0000      	30581.0398    	8.03816       
328.0000      	30487.8049    	7.44560       
329.0000      	30395.1368    	7.23599       
330.0000      	30303.0303    	7.25933       
331.0000      	30211.4804    	7.82592       
332.0000      	30120.4819    	8.12398       
333.0000      	30030.0300    	7.98852       
334.0000      	29940.1198    	7.65189       
335.0000      	29850.7463    	7.34337       
336.0000      	29761.9048    	7.63167       
337.0000      	29673.5905    	7.69236       
338.0000      	29585.7988    	7.98530       
339.0000      	29498.5251    	7.68342       
340.0000      	29411.7647    	7.47942       
341.0000      	29325.5132    	7.21768       
342.0000      	29239.7661    	7.68493       
343.0000      	29154.5190    	7.82555       
344.0000      	29069.7674    	7.60049       
345.0000      	28985.5072    	7.46784       
