Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:43:37

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	12.62223      
301.0000      	33222.5914    	12.43855      
302.0000      	33112.5828    	10.16859      
303.0000      	33003.3003    	9.88222       
304.0000      	32894.7368    	11.58387      
305.0000      	32786.8852    	10.99233      
306.0000      	32679.7386    	11.35626      
307.0000      	32573.2899    	10.55860      
308.0000      	32467.5325    	10.35499      
309.0000      	32362.4595    	9.58900       
310.0000      	32258.0645    	10.12730      
311.0000      	32154.3408    	10.36496      
312.0000      	32051.2821    	9.68287       
313.0000      	31948.8818    	9.53396       
314.0000      	31847.1338    	9.96308       
315.0000      	31746.0317    	9.78689       
316.0000      	31645.5696    	9.13758       
317.0000      	31545.7413    	8.34872       
318.0000      	31446.5409    	8.53132       
319.0000      	31347.9624    	8.24761       
320.0000      	31250.0000    	8.73051       
321.0000      	31152.6480    	8.30543       
322.0000      	31055.9006    	8.28561       
323.0000      	30959.7523    	8.35003       
324.0000      	30864.1975    	7.92921       
325.0000      	30769.2308    	7.42281       
326.0000      	30674.8466    	7.39418       
327.0000      	30581.0398    	7.44475       
328.0000      	30487.8049    	7.14026       
329.0000      	30395.1368    	7.40625       
330.0000      	30303.0303    	7.34481       
331.0000      	30211.4804    	7.15236       
332.0000      	30120.4819    	7.10053       
333.0000      	30030.0300    	6.98356       
334.0000      	29940.1198    	7.42235       
335.0000      	29850.7463    	7.47240       
336.0000      	29761.9048    	7.11135       
337.0000      	29673.5905    	6.83772       
338.0000      	29585.7988    	7.00895       
339.0000      	29498.5251    	7.19344       
340.0000      	29411.7647    	7.10408       
341.0000      	29325.5132    	7.02647       
342.0000      	29239.7661    	6.92830       
343.0000      	29154.5190    	6.82968       
344.0000      	29069.7674    	6.95582       
345.0000      	28985.5072    	7.04516       
346.0000      	28901.7341    	6.84426       
347.0000      	28818.4438    	6.67828       
348.0000      	28735.6322    	6.92759       
349.0000      	28653.2951    	7.37969       
350.0000      	28571.4286    	7.47487       
351.0000      	28490.0285    	7.12070       
352.0000      	28409.0909    	6.85280       
353.0000      	28328.6119    	7.11416       
354.0000      	28248.5876    	7.40644       
355.0000      	28169.0141    	7.34769       
356.0000      	28089.8876    	7.48687       
357.0000      	28011.2045    	7.39757       
358.0000      	27932.9609    	7.45577       
359.0000      	27855.1532    	7.67033       
360.0000      	27777.7778    	7.84942       
361.0000      	27700.8310    	8.08353       
362.0000      	27624.3094    	8.18721       
363.0000      	27548.2094    	8.20140       
364.0000      	27472.5275    	8.03517       
365.0000      	27397.2603    	7.93703       
366.0000      	27322.4044    	8.06925       
367.0000      	27247.9564    	8.19487       
368.0000      	27173.9130    	8.21996       
369.0000      	27100.2710    	8.22845       
370.0000      	27027.0270    	8.30379       
371.0000      	26954.1779    	8.44665       
372.0000      	26881.7204    	8.69241       
373.0000      	26809.6515    	8.75653       
374.0000      	26737.9679    	8.66361       
375.0000      	26666.6667    	8.61678       
376.0000      	26595.7447    	8.90770       
377.0000      	26525.1989    	9.21332       
378.0000      	26455.0265    	9.50525       
379.0000      	26385.2243    	9.71507       
380.0000      	26315.7895    	9.90427       
381.0000      	26246.7192    	10.00763      
382.0000      	26178.0105    	10.16180      
383.0000      	26109.6606    	10.38682      
384.0000      	26041.6667    	10.49628      
385.0000      	25974.0260    	10.58742      
386.0000      	25906.7358    	10.86469      
387.0000      	25839.7933    	11.20371      
388.0000      	25773.1959    	11.27956      
389.0000      	25706.9409    	11.60363      
390.0000      	25641.0256    	11.94367      
391.0000      	25575.4476    	12.11652      
392.0000      	25510.2041    	12.21131      
393.0000      	25445.2926    	12.37878      
394.0000      	25380.7107    	12.63676      
395.0000      	25316.4557    	12.87713      
396.0000      	25252.5253    	13.10272      
