Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:54:15

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	16.86610      
301.0000      	33222.5914    	16.59970      
302.0000      	33112.5828    	16.92407      
303.0000      	33003.3003    	16.88587      
304.0000      	32894.7368    	14.90215      
305.0000      	32786.8852    	14.89808      
306.0000      	32679.7386    	14.64417      
307.0000      	32573.2899    	14.70325      
308.0000      	32467.5325    	14.38986      
309.0000      	32362.4595    	12.88143      
310.0000      	32258.0645    	12.23478      
311.0000      	32154.3408    	12.57232      
312.0000      	32051.2821    	12.42896      
313.0000      	31948.8818    	11.86041      
314.0000      	31847.1338    	11.79326      
315.0000      	31746.0317    	11.98465      
316.0000      	31645.5696    	12.09150      
317.0000      	31545.7413    	11.35846      
318.0000      	31446.5409    	10.74112      
319.0000      	31347.9624    	10.47538      
320.0000      	31250.0000    	10.98701      
321.0000      	31152.6480    	10.98257      
322.0000      	31055.9006    	10.54973      
323.0000      	30959.7523    	9.95378       
324.0000      	30864.1975    	9.31964       
325.0000      	30769.2308    	9.60824       
326.0000      	30674.8466    	9.84160       
327.0000      	30581.0398    	10.10632      
328.0000      	30487.8049    	9.32169       
329.0000      	30395.1368    	9.08494       
330.0000      	30303.0303    	9.23843       
331.0000      	30211.4804    	9.36125       
332.0000      	30120.4819    	9.23732       
333.0000      	30030.0300    	9.01188       
334.0000      	29940.1198    	9.29120       
335.0000      	29850.7463    	9.15566       
336.0000      	29761.9048    	9.10201       
337.0000      	29673.5905    	9.24507       
338.0000      	29585.7988    	9.48820       
339.0000      	29498.5251    	9.38029       
340.0000      	29411.7647    	9.47590       
341.0000      	29325.5132    	9.76324       
342.0000      	29239.7661    	9.91313       
343.0000      	29154.5190    	9.94708       
344.0000      	29069.7674    	9.98372       
345.0000      	28985.5072    	9.86846       
346.0000      	28901.7341    	9.86085       
347.0000      	28818.4438    	9.78336       
348.0000      	28735.6322    	9.91118       
349.0000      	28653.2951    	10.12674      
350.0000      	28571.4286    	10.52163      
351.0000      	28490.0285    	10.72616      
352.0000      	28409.0909    	10.75431      
353.0000      	28328.6119    	11.16908      
354.0000      	28248.5876    	11.44017      
355.0000      	28169.0141    	11.44650      
356.0000      	28089.8876    	11.90483      
357.0000      	28011.2045    	12.11597      
358.0000      	27932.9609    	12.54130      
359.0000      	27855.1532    	12.83180      
360.0000      	27777.7778    	13.22416      
361.0000      	27700.8310    	13.34321      
362.0000      	27624.3094    	13.37133      
363.0000      	27548.2094    	13.55877      
364.0000      	27472.5275    	13.81964      
365.0000      	27397.2603    	14.12415      
366.0000      	27322.4044    	14.41558      
367.0000      	27247.9564    	14.78125      
368.0000      	27173.9130    	15.19448      
369.0000      	27100.2710    	15.65200      
370.0000      	27027.0270    	15.97667      
371.0000      	26954.1779    	16.13837      
372.0000      	26881.7204    	16.47970      
373.0000      	26809.6515    	16.74474      
374.0000      	26737.9679    	17.00304      
375.0000      	26666.6667    	17.43630      
376.0000      	26595.7447    	18.06911      
377.0000      	26525.1989    	18.47827      
378.0000      	26455.0265    	19.03588      
379.0000      	26385.2243    	19.58703      
380.0000      	26315.7895    	20.12366      
381.0000      	26246.7192    	20.50821      
382.0000      	26178.0105    	20.73624      
383.0000      	26109.6606    	21.37847      
384.0000      	26041.6667    	21.95156      
385.0000      	25974.0260    	22.60118      
386.0000      	25906.7358    	23.01428      
387.0000      	25839.7933    	23.60228      
388.0000      	25773.1959    	24.03216      
389.0000      	25706.9409    	24.69635      
390.0000      	25641.0256    	25.26584      
391.0000      	25575.4476    	25.74195      
392.0000      	25510.2041    	26.09253      
393.0000      	25445.2926    	26.86466      
394.0000      	25380.7107    	27.47808      
395.0000      	25316.4557    	27.95436      
396.0000      	25252.5253    	28.62580      
397.0000      	25188.9169    	29.36947      
398.0000      	25125.6281    	30.29405      
399.0000      	25062.6566    	31.18795      
400.0000      	25000.0000    	32.20640      
401.0000      	24937.6559    	33.26996      
402.0000      	24875.6219    	33.84621      
403.0000      	24813.8958    	35.01118      
404.0000      	24752.4752    	36.22946      
405.0000      	24691.3580    	37.64080      
406.0000      	24630.5419    	38.84342      
407.0000      	24570.0246    	40.38163      
408.0000      	24509.8039    	41.97799      
409.0000      	24449.8778    	43.39153      
410.0000      	24390.2439    	44.79142      
411.0000      	24330.9002    	46.32582      
412.0000      	24271.8447    	47.24039      
413.0000      	24213.0751    	48.94721      
414.0000      	24154.5894    	50.44533      
415.0000      	24096.3855    	51.61238      
416.0000      	24038.4615    	52.56385      
417.0000      	23980.8153    	53.38429      
418.0000      	23923.4450    	54.16981      
419.0000      	23866.3484    	54.81044      
420.0000      	23809.5238    	55.27232      
421.0000      	23752.9691    	55.58184      
422.0000      	23696.6825    	56.17886      
423.0000      	23640.6619    	56.78324      
424.0000      	23584.9057    	57.27813      
425.0000      	23529.4118    	57.76501      
426.0000      	23474.1784    	58.32897      
427.0000      	23419.2037    	58.85952      
428.0000      	23364.4860    	59.36882      
429.0000      	23310.0233    	59.77755      
430.0000      	23255.8140    	60.04973      
431.0000      	23201.8561    	60.55585      
432.0000      	23148.1481    	61.24225      
433.0000      	23094.6882    	61.77914      
434.0000      	23041.4747    	62.28815      
435.0000      	22988.5057    	62.76895      
436.0000      	22935.7798    	63.23481      
437.0000      	22883.2952    	63.59297      
438.0000      	22831.0502    	63.64058      
439.0000      	22779.0433    	63.73820      
440.0000      	22727.2727    	63.81487      
441.0000      	22675.7370    	63.74751      
442.0000      	22624.4344    	63.49976      
443.0000      	22573.3634    	63.61742      
444.0000      	22522.5225    	63.55959      
445.0000      	22471.9101    	63.40834      
446.0000      	22421.5247    	63.31765      
447.0000      	22371.3647    	63.09337      
448.0000      	22321.4286    	62.59184      
449.0000      	22271.7149    	62.02400      
450.0000      	22222.2222    	61.52848      
451.0000      	22172.9490    	61.38319      
452.0000      	22123.8938    	61.68079      
453.0000      	22075.0552    	61.85891      
454.0000      	22026.4317    	61.79851      
