Unit Serial No : 240-IM0P2424-EU
Integration Time : 10 ms
Time Average: 10
Binning Average: 2
FFT Smoothing: 0%
Project Name : RPS900-R 
Sample Name :  SM240-IMOP2424-EU
Measurement No : 1
Measurement Time : 06/03/2019   14:54:27

Wavelength(nm)	Wavenumber(1/cm)	Transmittance(%)
300.0000      	33333.3333    	15.26205      
301.0000      	33222.5914    	14.95971      
302.0000      	33112.5828    	15.52896      
303.0000      	33003.3003    	15.98870      
304.0000      	32894.7368    	15.47432      
305.0000      	32786.8852    	14.74611      
306.0000      	32679.7386    	13.69075      
307.0000      	32573.2899    	13.26031      
308.0000      	32467.5325    	13.73298      
309.0000      	32362.4595    	13.17120      
310.0000      	32258.0645    	12.87130      
311.0000      	32154.3408    	11.75318      
312.0000      	32051.2821    	11.58232      
313.0000      	31948.8818    	11.81802      
314.0000      	31847.1338    	12.47473      
315.0000      	31746.0317    	12.16487      
316.0000      	31645.5696    	12.06110      
317.0000      	31545.7413    	11.31660      
318.0000      	31446.5409    	11.03219      
319.0000      	31347.9624    	10.84972      
320.0000      	31250.0000    	10.78214      
321.0000      	31152.6480    	10.23099      
322.0000      	31055.9006    	9.94328       
323.0000      	30959.7523    	9.57239       
324.0000      	30864.1975    	9.59380       
325.0000      	30769.2308    	9.83443       
326.0000      	30674.8466    	9.53324       
327.0000      	30581.0398    	9.34143       
328.0000      	30487.8049    	9.10524       
329.0000      	30395.1368    	9.51282       
330.0000      	30303.0303    	9.34781       
331.0000      	30211.4804    	9.34781       
332.0000      	30120.4819    	9.22902       
333.0000      	30030.0300    	9.11756       
334.0000      	29940.1198    	9.23282       
335.0000      	29850.7463    	9.22663       
336.0000      	29761.9048    	9.03154       
337.0000      	29673.5905    	8.91230       
338.0000      	29585.7988    	9.15235       
339.0000      	29498.5251    	9.25721       
340.0000      	29411.7647    	9.56277       
341.0000      	29325.5132    	9.70781       
342.0000      	29239.7661    	9.70785       
343.0000      	29154.5190    	9.62236       
344.0000      	29069.7674    	9.61874       
345.0000      	28985.5072    	9.95310       
346.0000      	28901.7341    	10.18105      
347.0000      	28818.4438    	10.27630      
348.0000      	28735.6322    	10.34526      
349.0000      	28653.2951    	10.36945      
350.0000      	28571.4286    	10.52574      
351.0000      	28490.0285    	10.79061      
352.0000      	28409.0909    	10.92570      
353.0000      	28328.6119    	11.08340      
354.0000      	28248.5876    	11.17641      
355.0000      	28169.0141    	11.30895      
356.0000      	28089.8876    	11.86799      
357.0000      	28011.2045    	12.33596      
358.0000      	27932.9609    	12.53464      
359.0000      	27855.1532    	12.69660      
360.0000      	27777.7778    	12.81839      
361.0000      	27700.8310    	13.23858      
362.0000      	27624.3094    	13.75675      
363.0000      	27548.2094    	14.07183      
364.0000      	27472.5275    	14.01418      
365.0000      	27397.2603    	14.00364      
366.0000      	27322.4044    	14.32036      
367.0000      	27247.9564    	14.80091      
368.0000      	27173.9130    	15.31023      
369.0000      	27100.2710    	15.70785      
370.0000      	27027.0270    	15.92355      
371.0000      	26954.1779    	16.03990      
372.0000      	26881.7204    	16.48815      
373.0000      	26809.6515    	16.84115      
374.0000      	26737.9679    	17.23851      
375.0000      	26666.6667    	17.67263      
376.0000      	26595.7447    	18.14229      
377.0000      	26525.1989    	18.51769      
378.0000      	26455.0265    	18.94419      
379.0000      	26385.2243    	19.68025      
380.0000      	26315.7895    	20.46815      
381.0000      	26246.7192    	20.95321      
382.0000      	26178.0105    	21.12175      
383.0000      	26109.6606    	21.62127      
384.0000      	26041.6667    	22.13424      
385.0000      	25974.0260    	22.82631      
386.0000      	25906.7358    	23.37800      
387.0000      	25839.7933    	23.92035      
